ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
199509,CONFSERVER-2455,Suggestion,Closed,Fixed,"2004-12-21 16:28:52","2013-12-03 02:53:25",2,NULL,33541,79246,4706544
196768,CONFSERVER-5599,Suggestion,Closed,Fixed,"2006-02-28 16:45:08","2012-12-21 04:33:24",1,NULL,0,10382,3581988
196467,CONFSERVER-5942,Bug,Closed,Fixed,"2006-04-18 01:18:06","2018-06-26 04:52:59",2,NULL,321,51786,6411094
195075,CONFSERVER-7526,Suggestion,Closed,Done,"2006-12-29 04:09:00","2015-01-12 01:08:21",5,NULL,40085,40085,4227659
189522,CONFSERVER-14838,Bug,Closed,Fixed,"2009-03-10 05:24:54","2017-04-19 07:09:17",3,NULL,259,11884,4265324
187702,CONFSERVER-17523,Bug,Closed,Fixed,"2009-11-06 17:33:15","2015-03-31 07:13:56",5,NULL,14402,97065,2837560
184574,CONFSERVER-21870,Bug,Closed,Fixed,"2011-02-23 17:46:38","2017-09-25 04:36:58",3,NULL,5360,76167,3463790
184343,CONFSERVER-22154,Bug,Closed,Fixed,"2011-03-31 18:48:29","2014-12-31 07:08:50",2,NULL,7016,83503,1973600
184287,CONFSERVER-22287,Bug,Closed,Fixed,"2011-04-10 16:21:10","2020-01-06 04:37:17",2,NULL,260,119920,4597276
184245,CONFSERVER-22339,Bug,Closed,Fixed,"2011-04-15 18:39:27","2013-12-05 03:34:28",5,NULL,5934,14154,1388755
184065,CONFSERVER-22575,Suggestion,Closed,Fixed,"2011-05-24 02:53:02","2014-02-10 02:04:07",5,NULL,2926,28418,1429931
164705,CONFSERVER-50755,Bug,Closed,Fixed,"2011-08-24 16:20:49","2020-09-24 00:15:37",2,NULL,33,33,4778394
182877,CONFSERVER-23993,Suggestion,Closed,Fixed,"2011-11-28 22:51:16","2018-02-05 02:38:58",3,NULL,377551,383194,3254627
182221,CONFSERVER-24760,Bug,Closed,Fixed,"2012-02-28 00:46:20","2016-07-19 08:28:56",5,NULL,239953,401472,2308722
182175,CONFSERVER-24812,Bug,Closed,Fixed,"2012-03-05 15:10:05","2014-05-16 07:21:28",5,NULL,1116,44475,1154351
