ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
75562,JSWSERVER-2047,Bug,Closed,Fixed,"2010-03-12 20:47:32","2011-04-11 01:57:10",5,NULL,0,0,567609
75247,JSWSERVER-2478,Suggestion,Closed,Fixed,"2010-09-15 19:00:59","2011-05-10 07:46:16",13,NULL,5815,7397,340605
74934,JSWSERVER-2863,Bug,Closed,Fixed,"2011-03-09 20:50:06","2011-04-07 01:50:28",3,NULL,81,81,40560
74919,JSWSERVER-2881,Bug,Closed,Fixed,"2011-03-21 14:15:53","2011-04-04 03:15:00",2,NULL,42,42,19439
74889,JSWSERVER-2915,Bug,Closed,Fixed,"2011-03-29 03:49:48","2011-04-04 02:32:51",2,NULL,22,22,8563
74888,JSWSERVER-2919,Suggestion,Closed,Fixed,"2011-03-29 08:03:14","2011-04-04 00:40:21",5,NULL,5766,5766,8197
74885,JSWSERVER-2923,Bug,Closed,Fixed,"2011-03-30 02:58:55","2011-04-07 04:15:23",2,NULL,148,148,11596
74862,JSWSERVER-2987,Suggestion,Closed,Fixed,"2011-04-19 01:03:18","2011-09-02 05:17:32",8,NULL,2632,13019,196094
74861,JSWSERVER-2989,Suggestion,Closed,Answered,"2011-04-19 03:16:48","2013-07-25 05:06:20",2,NULL,0,0,1192429
74856,JSWSERVER-2994,Suggestion,Closed,Answered,"2011-04-20 02:50:05","2013-07-25 05:08:00",3,NULL,0,0,1191017
74854,JSWSERVER-2998,Suggestion,Closed,Fixed,"2011-04-21 04:29:26","2011-05-03 05:04:23",5,NULL,5695,5695,17314
74853,JSWSERVER-3003,Suggestion,Closed,Fixed,"2011-04-21 04:42:36","2011-06-22 08:05:55",5,NULL,3026,3032,89483
74852,JSWSERVER-3006,Suggestion,Closed,Fixed,"2011-04-21 04:48:55","2011-07-28 06:18:02",5,NULL,316,370,141209
