ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
202792,STL-26,"New Feature",Complete,Done,"2017-05-02 21:35:14","2017-06-07 19:41:56",3,NULL,37129,37129,51726
202790,STL-31,Bug,Complete,Done,"2017-05-02 21:49:21","2017-05-18 16:12:17",2,NULL,0,11361,22702
202788,STL-33,"New Feature",Complete,Done,"2017-05-02 21:58:49","2017-05-08 22:31:57",1,NULL,0,0,8673
202787,STL-34,Bug,Complete,Done,"2017-05-02 22:08:57","2017-05-31 18:57:41",2,NULL,0,11647,41568
202786,STL-35,"New Feature",Complete,Done,"2017-05-02 22:10:48","2017-05-18 20:45:23",1,NULL,0,0,22954
202784,STL-37,Bug,Complete,Done,"2017-05-02 22:27:55","2017-06-14 16:00:39",3,NULL,49010,49010,61532
202782,STL-39,"New Feature",Complete,Done,"2017-05-02 22:57:24","2017-05-15 19:39:12",1,NULL,32,7041,18521
202780,STL-41,"New Feature",Complete,Done,"2017-05-03 14:39:24","2017-11-27 21:12:34",3,NULL,0,0,299973
202771,STL-55,"New Feature",Complete,Done,"2017-05-03 20:08:47","2017-06-21 15:30:01",5,NULL,11066,11066,70281
202770,STL-56,"New Feature",Complete,Done,"2017-05-03 20:09:41","2017-05-19 15:21:30",1,NULL,2870,2870,22751
202766,STL-61,"New Feature",Complete,Done,"2017-05-03 20:18:00","2017-06-20 23:11:26",1,NULL,60841,60841,69293
202763,STL-64,"New Feature",Complete,Done,"2017-05-03 20:27:37","2017-05-16 18:13:35",3,NULL,2888,11253,18585
202762,STL-65,"New Feature",Complete,Done,"2017-05-03 20:28:44","2017-05-21 14:42:32",2,NULL,3628,5226,25573
202761,STL-66,"New Feature",Complete,Done,"2017-05-03 20:29:40","2017-05-22 17:04:42",3,NULL,1761,8571,27155
202760,STL-67,"New Feature",Complete,Done,"2017-05-03 20:30:33","2018-07-31 17:47:27",3,NULL,0,0,653596
202759,STL-68,"New Feature",Complete,Done,"2017-05-03 20:31:43","2017-05-18 17:12:15",2,NULL,0,8662,21400
202758,STL-69,"New Feature",Complete,Done,"2017-05-03 20:32:35","2017-05-12 21:35:56",3,NULL,0,4620,13023
202757,STL-70,"New Feature",Complete,Done,"2017-05-03 20:33:14","2017-05-25 21:12:55",3,NULL,0,13120,31719
202750,STL-77,"New Feature",Complete,Done,"2017-05-03 20:47:01","2017-05-17 19:33:33",1,NULL,0,0,20086
202748,STL-79,"New Feature",Complete,Done,"2017-05-03 20:49:17","2018-04-30 20:24:23",2,NULL,0,0,521255
202747,STL-82,"New Feature",Complete,Done,"2017-05-03 20:55:07","2017-05-11 20:10:00",1,NULL,0,2878,11474
202746,STL-83,"New Feature",Complete,Done,"2017-05-03 20:56:01","2017-06-23 16:58:25",2,NULL,4067,4067,73202
202743,STL-86,"New Feature",Complete,Done,"2017-05-03 21:17:36","2017-05-12 19:17:40",1,NULL,4122,4122,12840
202741,STL-88,Bug,Complete,Done,"2017-05-04 15:15:36","2017-06-09 22:25:46",3,NULL,3321,3321,52270
202737,STL-92,"New Feature",Complete,Done,"2017-05-04 15:51:42","2017-05-19 19:04:02",3,NULL,3015,3015,21792
202736,STL-93,"New Feature",Complete,Done,"2017-05-04 17:49:58","2017-06-05 23:57:52",3,NULL,26115,26115,46447
202735,STL-94,"New Feature",Complete,Done,"2017-05-04 17:57:42","2017-05-16 17:09:38",5,NULL,10079,10079,17231
202733,STL-96,"New Feature",Complete,Done,"2017-05-05 00:23:59","2017-05-12 17:01:11",1,NULL,0,0,11077
202732,STL-97,"New Feature",Complete,Done,"2017-05-05 00:36:12","2017-05-10 17:19:45",1,NULL,0,2246,8203
202729,STL-102,Bug,Complete,Done,"2017-05-05 14:32:30","2017-05-23 15:19:00",2,NULL,0,0,25966
202728,STL-103,Bug,Complete,Done,"2017-05-05 15:17:26","2018-08-09 18:39:25",2,NULL,5853,5853,664041
202727,STL-104,Bug,Complete,Done,"2017-05-05 15:45:45","2017-06-05 23:57:48",1,NULL,24887,24887,45132
202724,STL-107,"New Feature",Complete,Done,"2017-05-05 16:32:06","2017-05-18 18:57:04",1,NULL,12927,12927,18864
202723,STL-108,"New Feature",Complete,Done,"2017-05-05 16:32:37","2017-05-12 15:53:21",1,NULL,4251,4251,10040
202722,STL-109,"New Feature",Complete,Done,"2017-05-05 16:36:40","2017-05-18 18:57:06",2,NULL,8824,8824,18860
202721,STL-110,"New Feature",Complete,Done,"2017-05-05 16:39:07","2017-06-06 19:30:39",2,NULL,17423,17423,46251
202720,STL-111,"New Feature",Complete,Done,"2017-05-05 16:51:44","2017-06-06 19:30:42",2,NULL,17423,17423,46238
202719,STL-112,"New Feature",Complete,Done,"2017-05-05 16:52:49","2017-06-01 16:54:02",2,NULL,12944,12944,38881
202718,STL-113,"New Feature",Complete,Done,"2017-05-05 16:53:06","2017-06-01 16:54:05",2,NULL,12944,12944,38880
202717,STL-114,"New Feature",Complete,Done,"2017-05-05 17:36:43","2017-05-11 21:01:42",1,NULL,3130,3130,8844
202716,STL-115,"New Feature",Complete,Done,"2017-05-05 17:41:43","2017-05-18 20:07:45",2,NULL,10168,10168,18866
202715,STL-116,"New Feature",Complete,Done,"2017-05-05 17:49:45","2017-05-18 15:37:16",2,NULL,0,0,18587
