ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
41665,CLOV-1086,Bug,Closed,Fixed,"2008-11-18 04:51:26","2012-08-10 10:40:49",2,NULL,8357,25558,1960129
41668,CLOV-1083,Bug,Closed,Fixed,"2009-03-23 23:55:39","2012-07-19 10:14:57",1,NULL,4441,24537,1747279
42083,CLOV-579,Suggestion,Closed,Fixed,"2009-04-28 22:54:15","2012-10-19 11:45:24",1,NULL,0,15856,1828131
42088,CLOV-573,Bug,Closed,Fixed,"2009-05-13 20:24:36","2012-10-19 11:44:23",1,NULL,0,15592,1806679
41793,CLOV-930,Suggestion,Closed,Fixed,"2010-03-24 23:24:01","2013-01-04 10:47:42",2,NULL,1248198,1270996,1463723
41762,CLOV-964,Bug,Closed,Fixed,"2010-10-11 05:13:55","2012-11-26 08:23:12",1,NULL,0,0,1119129
41753,CLOV-977,Bug,Closed,Fixed,"2010-12-29 00:51:46","2012-11-26 12:20:52",1,NULL,0,0,1005809
41750,CLOV-987,Bug,Closed,Fixed,"2011-02-16 10:43:10","2012-08-28 16:40:46",1,NULL,0,1486,805257
41736,CLOV-1007,Bug,Closed,Fixed,"2011-06-24 13:59:51","2012-07-23 16:23:21",1,NULL,189,481,568943
41729,CLOV-1015,Bug,Closed,Fixed,"2011-07-22 21:18:41","2013-05-13 10:25:30",5,NULL,11827,15846,951186
41692,CLOV-1056,Bug,Closed,Fixed,"2012-01-20 22:17:42","2012-08-08 08:31:17",2,NULL,5,9743,288553
41669,CLOV-1082,Bug,Closed,Fixed,"2012-05-03 12:20:07","2012-07-24 11:39:05",1,NULL,446,1618,118038
41664,CLOV-1087,Suggestion,Closed,Fixed,"2012-05-07 14:21:54","2012-07-24 11:39:45",1,NULL,1147,1147,112157
41660,CLOV-1092,Suggestion,Closed,Fixed,"2012-05-21 12:18:50","2013-02-04 11:26:09",1,NULL,40,40,372967
41655,CLOV-1097,Suggestion,Closed,Fixed,"2012-05-31 18:59:42","2012-08-04 23:54:45",2,NULL,0,0,93895
41652,CLOV-1100,Suggestion,Closed,Fixed,"2012-06-11 07:23:07","2013-10-17 06:21:07",1,NULL,523,523,709857
41645,CLOV-1108,Bug,Closed,Fixed,"2012-06-25 12:14:47","2012-08-08 08:29:19",1,NULL,2993,12989,63134
41644,CLOV-1109,Bug,Closed,Fixed,"2012-06-29 06:24:51","2012-12-12 14:21:36",2,NULL,10377,10377,239576
41643,CLOV-1111,Suggestion,Closed,Fixed,"2012-07-11 07:56:18","2012-07-23 08:18:19",1,NULL,13277,17294,17302
41642,CLOV-1112,Bug,Closed,Fixed,"2012-07-11 11:55:15","2012-07-19 10:19:48",1,NULL,0,11371,11424
41626,CLOV-1131,Bug,Closed,Fixed,"2012-07-30 12:49:30","2014-02-05 13:48:34",2,NULL,0,0,799319
41625,CLOV-1132,Bug,Closed,Fixed,"2012-08-02 10:06:44","2012-10-19 13:19:06",4,NULL,33216,33216,112512
41621,CLOV-1137,Bug,Closed,Fixed,"2012-09-03 13:27:24","2012-11-06 12:38:15",2,NULL,5821,15963,92170
41620,CLOV-1138,Suggestion,Closed,Fixed,"2012-09-04 07:55:30","2012-11-06 12:38:21",1,NULL,45628,54257,91062
41618,CLOV-1140,Suggestion,Closed,Fixed,"2012-09-06 10:26:03","2012-09-21 16:22:03",5,NULL,11450,13058,21956
41615,CLOV-1143,Suggestion,Closed,Fixed,"2012-09-07 12:06:04","2012-09-10 14:23:28",1,NULL,0,0,4457
41614,CLOV-1144,Bug,Closed,Fixed,"2012-09-11 15:01:30","2013-04-22 08:12:31",3,NULL,18480,25586,320711
41609,CLOV-1149,Suggestion,Closed,Fixed,"2012-09-24 09:11:08","2012-09-29 12:52:46",1,NULL,76,7359,7421
41608,CLOV-1150,Bug,Closed,Fixed,"2012-09-24 21:24:25","2013-04-22 08:13:36",5,NULL,1616,7087,301609
41607,CLOV-1151,Bug,Closed,Fixed,"2012-09-28 15:23:53","2012-10-03 11:59:51",1,NULL,0,6979,6995
41597,CLOV-1162,Suggestion,Closed,Fixed,"2012-10-08 20:33:31","2012-12-07 13:39:58",8,NULL,30293,34529,86046
41595,CLOV-1165,Bug,Closed,Fixed,"2012-10-10 07:54:24","2012-10-10 07:56:52",1,NULL,0,0,2
41594,CLOV-1166,Bug,Closed,Fixed,"2012-10-11 13:33:32","2013-03-13 22:07:25",2,NULL,0,15263,220893
41593,CLOV-1167,Bug,Closed,Fixed,"2012-10-15 11:50:09","2012-10-19 11:43:33",1,NULL,0,5751,5753
41590,CLOV-1170,Bug,Closed,Fixed,"2012-10-22 08:58:04","2012-12-13 14:22:35",1,NULL,7277,7314,75264
41586,CLOV-1175,Suggestion,Closed,Fixed,"2012-11-07 08:58:34","2015-02-10 14:05:02",2,NULL,0,0,1188306
41584,CLOV-1177,Bug,Closed,Fixed,"2012-11-07 11:21:47","2012-11-07 14:22:34",1,NULL,0,25,180
41576,CLOV-1185,Bug,Closed,Fixed,"2012-11-08 14:25:18","2013-04-25 14:51:53",2,NULL,1933,1935,241886
41575,CLOV-1186,Bug,Closed,Fixed,"2012-11-12 06:46:54","2013-06-20 13:52:21",5,NULL,90753,90753,317165
41574,CLOV-1187,Suggestion,Closed,Fixed,"2012-11-15 15:25:50","2012-12-19 12:48:23",1,NULL,0,6016,48802
41571,CLOV-1190,Sub-task,Closed,Fixed,"2012-11-22 14:01:54","2012-12-05 07:32:09",2,NULL,618,18319,18330
41568,CLOV-1193,Suggestion,Closed,Fixed,"2012-11-30 10:24:30","2013-10-04 11:45:19",1,NULL,1278,4147,443540
41564,CLOV-1197,Suggestion,Closed,Fixed,"2012-12-14 14:30:16","2013-02-18 09:11:06",3,NULL,50141,50141,94720
41562,CLOV-1202,Sub-task,Closed,Fixed,"2013-01-10 09:33:17","2013-10-02 13:53:10",1,NULL,0,1,381799
41561,CLOV-1203,Sub-task,Closed,Fixed,"2013-01-10 09:36:01","2013-10-21 09:51:49",1,NULL,0,0,408915
41560,CLOV-1204,Sub-task,Closed,Fixed,"2013-01-10 09:38:42","2013-10-02 11:57:49",1,NULL,0,0,381679
41555,CLOV-1209,Bug,Closed,Fixed,"2013-01-17 11:23:21","2013-04-25 07:36:11",3,NULL,0,8382,140832
41537,CLOV-1227,Sub-task,Closed,Fixed,"2013-01-23 11:54:02","2013-02-18 09:13:30",2,NULL,1655,1655,37279
41536,CLOV-1228,Sub-task,Closed,Fixed,"2013-01-23 11:55:52","2013-02-18 09:13:01",1,NULL,12810,12810,37277
41535,CLOV-1229,Sub-task,Closed,Fixed,"2013-01-23 11:58:00","2013-02-18 09:13:16",1,NULL,48,48,37275
41534,CLOV-1230,Sub-task,Closed,Fixed,"2013-01-23 12:36:01","2013-02-21 23:27:25",5,NULL,15024,15024,42411
41533,CLOV-1231,Sub-task,Closed,Fixed,"2013-01-23 12:50:49","2013-02-26 14:25:29",3,NULL,1631,1631,49054
41529,CLOV-1235,Sub-task,Closed,Fixed,"2013-02-13 10:08:33","2013-02-21 23:27:44",2,NULL,0,0,12319
41528,CLOV-1236,Suggestion,Closed,Fixed,"2013-02-19 11:32:45","2013-03-01 10:56:16",1,NULL,63,14361,14363
41526,CLOV-1238,Suggestion,Closed,Fixed,"2013-02-20 07:31:07","2015-08-10 09:27:00",5,NULL,57625,82823,1297495
41514,CLOV-1250,Sub-task,Closed,Fixed,"2013-02-21 23:35:08","2013-03-11 13:17:00",5,NULL,14407,14407,25301
41513,CLOV-1251,Sub-task,Closed,Fixed,"2013-02-21 23:35:36","2013-03-11 14:35:13",5,NULL,9048,9048,25379
41510,CLOV-1255,Sub-task,Closed,Fixed,"2013-03-11 12:43:24","2013-03-20 12:16:39",2,NULL,12811,12815,12933
41507,CLOV-1258,Suggestion,Closed,Fixed,"2013-03-25 08:22:34","2014-10-13 11:34:08",8,NULL,0,0,816611
41506,CLOV-1259,Suggestion,Closed,Fixed,"2013-03-25 08:26:15","2013-05-18 15:48:05",5,NULL,5347,31737,78141
41505,CLOV-1260,Bug,Closed,Fixed,"2013-03-25 08:37:48","2013-08-30 09:59:27",2,NULL,68,1409,227541
41501,CLOV-1264,Bug,Closed,Fixed,"2013-03-26 09:24:52","2013-04-22 08:10:57",5,NULL,1406,27012,38746
41500,CLOV-1265,Suggestion,Closed,Fixed,"2013-04-03 14:02:04","2013-04-24 09:20:39",5,NULL,8401,8401,29958
41499,CLOV-1266,Sub-task,Closed,Fixed,"2013-04-03 14:09:23","2013-05-10 12:37:59",13,NULL,23236,23236,53188
41497,CLOV-1268,Sub-task,Closed,Fixed,"2013-04-03 14:18:47","2013-06-05 12:32:17",13,NULL,37533,37533,90613
41486,CLOV-1279,Suggestion,Closed,Fixed,"2013-04-17 14:03:30","2015-01-19 09:37:26",1,NULL,0,0,924273
41485,CLOV-1280,Bug,Closed,Fixed,"2013-04-26 19:45:19","2013-05-18 15:46:19",5,NULL,0,31319,31440
41484,CLOV-1281,Suggestion,Closed,Fixed,"2013-05-10 10:30:24","2013-05-13 13:45:01",1,NULL,0,4513,4514
41482,CLOV-1283,Suggestion,Closed,Fixed,"2013-05-10 11:59:43","2013-06-26 12:46:28",100,NULL,32269,39773,67726
41479,CLOV-1286,Suggestion,Closed,Fixed,"2013-05-10 12:14:35","2013-06-19 12:24:32",13,NULL,2843,5670,57609
41478,CLOV-1287,Sub-task,Closed,Fixed,"2013-05-10 12:16:36","2013-06-26 10:02:25",20,NULL,57620,67543,67545
41477,CLOV-1288,Sub-task,Closed,Fixed,"2013-05-10 12:18:24","2013-05-28 14:19:00",13,NULL,26039,26039,26040
41476,CLOV-1289,Suggestion,Closed,Fixed,"2013-05-22 09:49:54","2013-05-29 08:55:44",5,NULL,0,8575,10025
41471,CLOV-1294,Sub-task,Closed,Fixed,"2013-05-23 23:24:42","2013-05-28 14:19:09",20,NULL,6434,6434,6654
41470,CLOV-1295,Sub-task,Closed,Fixed,"2013-05-28 14:28:12","2013-06-17 14:06:54",3,NULL,0,0,28778
41469,CLOV-1297,Bug,Closed,Fixed,"2013-06-15 13:21:30","2013-06-26 10:08:23",5,NULL,0,15646,15646
41467,CLOV-1299,Sub-task,Closed,Fixed,"2013-06-19 12:38:26","2013-06-26 10:01:21",8,NULL,0,9922,9922
41466,CLOV-1301,Suggestion,Closed,Fixed,"2013-06-26 08:39:44","2013-06-26 09:59:41",2,NULL,0,0,79
41465,CLOV-1302,Bug,Closed,Fixed,"2013-06-26 08:44:11","2013-06-26 09:59:58",2,NULL,0,7,75
41461,CLOV-1326,Bug,Closed,Fixed,"2013-07-16 14:01:27","2013-07-23 13:06:21",3,NULL,5925,5932,10024
41458,CLOV-1333,Suggestion,Closed,Fixed,"2013-07-22 11:32:33","2013-10-21 09:53:30",20,NULL,19684,29473,130940
41457,CLOV-1335,Suggestion,Closed,Fixed,"2013-07-22 11:50:48","2013-10-21 11:02:06",13,NULL,6136,9857,130991
41456,CLOV-1336,Suggestion,Closed,Fixed,"2013-07-22 12:01:40","2013-10-21 09:53:48",20,NULL,24505,50344,130912
41455,CLOV-1337,Suggestion,Closed,Fixed,"2013-07-22 12:16:36","2013-10-08 10:27:07",3,NULL,1295,8365,112210
41451,CLOV-1341,Bug,Closed,Fixed,"2013-08-13 10:48:45","2013-10-02 13:11:57",5,NULL,58,72100,72143
41449,CLOV-1344,Suggestion,Closed,Fixed,"2013-08-29 10:04:42","2013-08-30 09:59:44",3,NULL,90,1433,1435
41448,CLOV-1348,Suggestion,Closed,Fixed,"2013-08-29 13:21:51","2014-05-27 22:44:27",2,NULL,11625,11625,390802
41447,CLOV-1350,Suggestion,Closed,Fixed,"2013-08-29 13:24:16","2014-06-10 14:50:51",1,NULL,190,190,410486
41446,CLOV-1352,Sub-task,Closed,Fixed,"2013-08-30 12:20:17","2013-09-18 10:12:34",13,NULL,2,27221,27232
41445,CLOV-1353,Sub-task,Closed,Fixed,"2013-08-30 12:22:40","2013-09-23 11:55:07",13,NULL,5522,34524,34532
41444,CLOV-1354,Sub-task,Closed,Fixed,"2013-08-30 12:23:37","2013-09-18 10:13:13",3,NULL,5544,27222,27229
