ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
25961,USERGRID-21,Bug,Resolved,Fixed,"2014-01-28 00:45:03","2015-09-21 16:41:48",3,NULL,0,748770,866336
25955,USERGRID-27,Bug,Closed,Fixed,"2014-01-28 00:56:04","2016-01-05 20:05:22",3,NULL,0,0,1019229
25953,USERGRID-29,Bug,Closed,Fixed,"2014-01-28 00:57:14","2017-03-24 06:19:33",3,NULL,0,0,1657762
25931,USERGRID-51,Bug,Resolved,Fixed,"2014-01-29 21:50:45","2016-05-11 08:06:58",3,NULL,0,1195937,1198636
25879,USERGRID-103,Improvement,Closed,Done,"2014-03-23 10:08:23","2015-09-16 21:14:52",5,NULL,20159,20159,781086
25789,USERGRID-193,Bug,Closed,Fixed,"2014-07-17 21:19:02","2016-07-18 20:30:00",3,NULL,0,0,1054030
25766,USERGRID-216,Story,Closed,Fixed,"2014-08-15 05:39:59","2015-07-30 23:32:29",2,NULL,16368,16368,503632
25747,USERGRID-235,Bug,Closed,Fixed,"2014-10-03 18:50:51","2015-09-22 20:25:21",3,NULL,0,0,509854
25744,USERGRID-238,Wish,Closed,Fixed,"2014-10-06 23:57:04","2016-02-09 15:53:02",2,NULL,0,0,706615
25741,USERGRID-241,Bug,Resolved,Fixed,"2014-10-14 14:31:59","2016-07-29 21:29:04",3,NULL,0,0,942177
25720,USERGRID-262,Bug,Closed,Fixed,"2014-12-04 00:56:56","2016-06-03 16:04:13",3,NULL,0,0,788527
25709,USERGRID-273,Story,Closed,Done,"2014-12-10 17:35:10","2015-02-26 17:51:32",8,NULL,112119,112119,112336
25704,USERGRID-280,Story,Closed,Fixed,"2014-12-12 22:36:35","2015-03-03 02:51:35",3,NULL,75332,75332,115454
25703,USERGRID-281,Story,Closed,Fixed,"2014-12-12 22:37:16","2015-03-17 20:49:26",3,NULL,0,0,136692
25691,USERGRID-294,Story,Closed,Fixed,"2014-12-15 17:11:28","2015-02-18 20:58:19",5,NULL,0,0,93826
25653,USERGRID-332,Bug,Closed,Fixed,"2015-01-09 23:31:07","2015-07-15 20:48:05",3,NULL,0,0,269056
25652,USERGRID-333,Bug,Closed,Fixed,"2015-01-09 23:31:25","2015-02-26 17:50:24",3,NULL,40471,40471,68778
25651,USERGRID-334,Bug,Closed,Fixed,"2015-01-09 23:31:57","2015-07-13 16:46:40",3,NULL,0,0,265934
25650,USERGRID-335,Bug,Closed,Fixed,"2015-01-09 23:32:15","2015-03-20 17:05:44",2,NULL,94293,94293,100413
25649,USERGRID-336,Bug,Closed,Done,"2015-01-09 23:33:06","2015-04-02 18:19:13",1,NULL,2949,2949,119146
25647,USERGRID-338,Bug,Closed,Fixed,"2015-01-09 23:42:57","2015-03-23 19:07:10",1,NULL,0,0,104844
25645,USERGRID-340,Bug,Closed,Done,"2015-01-09 23:43:52","2015-04-02 18:19:52",1,NULL,2950,2950,119136
25643,USERGRID-342,Bug,Closed,Done,"2015-01-09 23:49:01","2015-04-02 18:21:01",1,NULL,2951,2951,119131
25640,USERGRID-345,Bug,Closed,Fixed,"2015-01-10 00:00:30","2015-03-20 19:48:22",1,NULL,9,9,100547
25638,USERGRID-347,Bug,Closed,Fixed,"2015-01-10 00:05:23","2015-03-23 18:33:45",3,NULL,4243,4243,104788
25637,USERGRID-348,Story,Closed,Fixed,"2015-01-10 00:07:47","2015-03-24 22:19:19",3,NULL,1437,1437,106451
25636,USERGRID-349,Bug,Closed,Fixed,"2015-01-10 00:10:40","2015-07-13 16:46:25",3,NULL,0,0,265895
25625,USERGRID-360,Story,Closed,Fixed,"2015-01-20 21:48:13","2015-02-09 23:38:51",2,NULL,28908,28908,28910
25624,USERGRID-361,Story,Closed,Fixed,"2015-01-22 01:39:23","2015-03-09 16:06:07",2,NULL,65667,65667,67106
25614,USERGRID-371,"Technical task",Closed,Fixed,"2015-01-29 23:00:41","2015-02-02 22:52:17",3,NULL,5741,5741,5751
25606,USERGRID-379,Story,Closed,Fixed,"2015-02-03 16:13:31","2015-06-08 17:35:35",1,NULL,0,0,180022
25602,USERGRID-383,Story,Closed,Fixed,"2015-02-06 22:19:54","2015-02-18 20:59:01",5,NULL,0,0,17199
25600,USERGRID-385,Story,Closed,Fixed,"2015-02-06 22:24:21","2015-02-09 22:48:13",5,NULL,0,0,4343
25599,USERGRID-386,Story,Closed,Fixed,"2015-02-06 22:25:56","2015-02-09 22:48:23",2,NULL,0,0,4342
25598,USERGRID-387,Story,Closed,Fixed,"2015-02-09 23:35:53","2015-12-01 20:06:01",3,NULL,0,0,424590
25597,USERGRID-388,Story,Closed,Fixed,"2015-02-10 21:24:33","2015-02-12 22:23:59",3,NULL,2938,2938,2939
25592,USERGRID-393,Story,Closed,Fixed,"2015-02-17 19:10:25","2015-02-27 16:57:40",3,NULL,12855,12855,14267
25590,USERGRID-395,Story,Closed,Fixed,"2015-02-18 18:07:32","2015-08-25 22:53:20",5,NULL,12650,12650,270945
25589,USERGRID-396,Story,Closed,Fixed,"2015-02-18 18:39:32","2015-03-16 15:54:20",3,NULL,8624,8624,37274
25580,USERGRID-405,Story,Closed,Fixed,"2015-02-19 19:31:51","2015-03-09 06:09:01",1,NULL,21657,21657,25117
25576,USERGRID-409,Story,Closed,Fixed,"2015-02-23 17:37:00","2015-06-04 14:17:30",3,NULL,73358,73358,145180
25573,USERGRID-412,Story,Closed,Fixed,"2015-02-24 17:23:25","2015-02-25 20:53:04",5,NULL,1649,1649,1649
25571,USERGRID-414,Story,Closed,Fixed,"2015-02-24 22:08:34","2015-03-19 23:57:36",3,NULL,0,0,33229
25570,USERGRID-415,Bug,Closed,Done,"2015-02-25 02:37:04","2015-03-10 03:46:54",1,NULL,0,0,18789
25569,USERGRID-416,Story,Closed,Fixed,"2015-02-25 21:48:03","2015-03-09 16:11:14",3,NULL,4065,4065,16943
25568,USERGRID-418,Story,Closed,Fixed,"2015-02-26 01:13:29","2015-03-04 17:51:29",5,NULL,3512,3512,9638
25567,USERGRID-419,Bug,Resolved,Fixed,"2015-02-26 16:42:37","2016-06-06 21:27:11",3,NULL,0,0,671264
25564,USERGRID-422,"Technical task",Closed,Fixed,"2015-02-26 18:00:15","2015-03-03 21:07:22",1,NULL,2484,2484,7387
25563,USERGRID-423,Story,Closed,Fixed,"2015-02-26 19:11:43","2016-09-09 19:49:52",5,NULL,0,0,807818
25554,USERGRID-432,Story,Closed,Fixed,"2015-02-27 17:30:24","2015-03-09 16:12:01",3,NULL,9782,9782,14321
25547,USERGRID-439,Bug,Closed,Fixed,"2015-02-27 23:21:12","2016-01-12 01:46:17",3,NULL,0,0,458065
25545,USERGRID-442,Bug,Closed,Fixed,"2015-03-02 18:43:57","2016-02-02 22:19:03",3,NULL,0,0,485495
25544,USERGRID-443,Story,Closed,Fixed,"2015-03-02 21:12:17","2015-03-06 16:56:31",3,NULL,0,0,5504
25541,USERGRID-446,Story,Closed,Implemented,"2015-03-02 23:56:14","2016-02-19 22:53:48",5,NULL,0,0,509697
25540,USERGRID-447,Story,Closed,Fixed,"2015-03-03 02:20:12","2016-05-11 07:09:48",1,NULL,62253,62253,626629
25539,USERGRID-448,Bug,Closed,Fixed,"2015-03-03 14:36:17","2015-03-30 21:07:46",3,NULL,29038,29038,39211
25536,USERGRID-451,Story,Closed,Fixed,"2015-03-03 22:01:56","2015-03-20 13:47:27",3,NULL,829,829,23985
25533,USERGRID-454,Story,Closed,Fixed,"2015-03-04 17:59:06","2015-03-09 06:22:27",5,NULL,6249,6249,6503
25531,USERGRID-456,Bug,Closed,Fixed,"2015-03-05 01:42:59","2015-03-09 07:56:58",3,NULL,0,0,6133
25530,USERGRID-457,Bug,Closed,Fixed,"2015-03-06 00:56:51","2015-07-14 23:14:02",3,NULL,0,0,188477
25526,USERGRID-461,Bug,Closed,Fixed,"2015-03-09 06:21:19","2015-03-10 18:36:59",5,NULL,1521,1521,2175
25525,USERGRID-462,Bug,Resolved,Fixed,"2015-03-09 07:47:36","2015-11-05 23:53:04",3,NULL,0,0,348005
25522,USERGRID-465,Story,Closed,Done,"2015-03-09 15:53:50","2015-03-09 18:24:01",1,NULL,145,145,150
25521,USERGRID-466,Bug,Closed,Fixed,"2015-03-09 18:13:43","2015-03-12 15:17:55",5,NULL,2650,2650,4144
25514,USERGRID-473,Story,Closed,Fixed,"2015-03-10 23:29:16","2015-06-08 17:50:34",3,NULL,0,0,129201
25513,USERGRID-474,Story,Closed,Fixed,"2015-03-11 20:43:13","2015-03-12 15:19:44",1,NULL,0,0,1116
25509,USERGRID-478,Story,Closed,Fixed,"2015-03-12 15:34:26","2015-03-16 00:52:49",3,NULL,4868,4868,4878
25508,USERGRID-479,Story,Closed,Fixed,"2015-03-12 15:39:25","2015-03-16 15:23:34",3,NULL,0,0,5744
25501,USERGRID-486,Story,Closed,Fixed,"2015-03-17 15:25:30","2015-03-20 21:54:33",5,NULL,1378,1378,4709
25497,USERGRID-490,Story,Closed,Fixed,"2015-03-18 11:56:36","2015-03-18 16:02:01",1,NULL,224,224,245
25496,USERGRID-491,Bug,Closed,Fixed,"2015-03-18 17:12:41","2015-04-07 14:47:01",3,NULL,28593,28593,28594
25494,USERGRID-493,Story,Closed,Fixed,"2015-03-18 21:47:23","2015-03-23 18:35:43",3,NULL,0,0,7008
25493,USERGRID-494,Bug,Closed,Fixed,"2015-03-18 23:25:54","2015-03-30 21:19:19",1,NULL,6649,6649,17093
25486,USERGRID-501,Story,Closed,Fixed,"2015-03-23 16:46:01","2015-03-30 18:55:31",8,NULL,10147,10147,10149
25485,USERGRID-502,Story,Closed,Fixed,"2015-03-23 20:22:06","2015-03-23 22:21:00",2,NULL,118,118,118
25483,USERGRID-504,Story,Closed,Fixed,"2015-03-23 23:34:13","2016-01-26 16:28:54",3,NULL,0,0,444534
25482,USERGRID-505,Bug,Closed,Fixed,"2015-03-24 17:50:44","2015-04-02 01:11:05",5,NULL,3129,3129,11900
25480,USERGRID-507,Bug,Closed,Fixed,"2015-03-24 18:36:07","2016-05-11 07:07:03",3,NULL,0,0,595410
25478,USERGRID-509,Story,Closed,Fixed,"2015-03-24 20:13:38","2015-04-01 01:41:36",5,NULL,9280,9280,10347
25477,USERGRID-510,Story,Closed,Implemented,"2015-03-24 20:15:10","2015-03-30 21:01:28",1,NULL,70,70,8626
25476,USERGRID-511,Bug,Resolved,Fixed,"2015-03-24 20:46:28","2015-03-25 23:06:08",3,NULL,0,0,1579
25472,USERGRID-515,Bug,Closed,Fixed,"2015-03-25 14:02:26","2015-04-15 20:57:44",1,NULL,11411,11411,30595
25470,USERGRID-518,Bug,Closed,Fixed,"2015-03-25 18:06:24","2015-04-15 20:58:20",1,NULL,11412,11412,30351
25469,USERGRID-519,Bug,Closed,Fixed,"2015-03-25 18:16:02","2016-01-13 00:05:00",3,NULL,1343,1343,422268
25467,USERGRID-521,Story,Closed,Fixed,"2015-03-26 23:44:23","2016-01-13 00:03:59",1,NULL,1341,1341,420499
25462,USERGRID-527,Story,Closed,Fixed,"2015-03-31 18:19:17","2015-05-05 22:48:57",3,NULL,20254,20254,50669
25460,USERGRID-529,Bug,Closed,Fixed,"2015-04-01 16:07:23","2015-04-03 15:56:12",3,NULL,0,0,2868
25459,USERGRID-530,Bug,Closed,Fixed,"2015-04-01 17:15:06","2015-04-06 17:27:20",1,NULL,0,0,7212
25457,USERGRID-532,Story,Closed,Fixed,"2015-04-01 18:09:15","2015-09-20 23:18:01",2,NULL,0,0,247988
25456,USERGRID-533,Story,Closed,Fixed,"2015-04-01 18:18:31","2015-04-07 14:46:08",2,NULL,0,0,8427
25454,USERGRID-535,Story,Closed,Fixed,"2015-04-01 18:22:04","2015-04-03 21:12:19",3,NULL,317,317,3050
25453,USERGRID-536,Story,Closed,Fixed,"2015-04-01 18:40:02","2015-04-21 23:15:09",2,NULL,21111,21111,29075
25451,USERGRID-538,Story,Closed,Fixed,"2015-04-03 02:43:18","2015-04-03 23:15:43",1,NULL,1124,1124,1232
25450,USERGRID-539,Bug,Closed,Fixed,"2015-04-03 21:13:15","2015-04-07 01:01:40",3,NULL,4367,4367,4548
25448,USERGRID-541,Story,Closed,Fixed,"2015-04-03 21:23:06","2015-04-21 02:53:37",5,NULL,7769,7769,24810
25447,USERGRID-542,Story,Closed,Fixed,"2015-04-04 00:34:33","2015-04-08 21:24:23",5,NULL,0,0,7009
25446,USERGRID-543,Story,Closed,Fixed,"2015-04-04 19:28:02","2015-08-20 23:42:25",3,NULL,8756,8756,198974
25445,USERGRID-544,Story,Closed,Fixed,"2015-04-05 17:46:49","2016-02-02 22:15:24",3,NULL,0,0,436648
25444,USERGRID-545,Story,Closed,Fixed,"2015-04-06 01:04:54","2015-09-01 16:41:27",3,NULL,8361,8361,214056
25443,USERGRID-546,Bug,Resolved,Done,"2015-04-06 14:21:43","2015-07-28 22:40:32",3,NULL,0,0,163218
25441,USERGRID-548,Story,Closed,Fixed,"2015-04-06 18:50:55","2015-04-14 23:14:35",5,NULL,31,31,11783
25440,USERGRID-549,Story,Closed,Fixed,"2015-04-07 01:03:36","2015-04-07 17:04:56",1,NULL,960,960,961
25439,USERGRID-550,Story,Closed,Fixed,"2015-04-07 17:00:34","2015-04-08 17:46:34",1,NULL,1485,1485,1486
25435,USERGRID-555,Story,Closed,Done,"2015-04-07 23:11:54","2015-07-08 06:08:13",3,NULL,0,0,131456
25434,USERGRID-556,Story,Closed,Fixed,"2015-04-07 23:25:10","2015-06-04 17:27:21",1,NULL,39,39,83162
25431,USERGRID-559,Story,Closed,Fixed,"2015-04-07 23:34:17","2015-07-15 00:09:40",3,NULL,0,0,141155
25430,USERGRID-560,Story,Closed,Fixed,"2015-04-08 01:09:05","2015-07-30 22:02:56",3,NULL,80,80,163973
25429,USERGRID-561,Bug,Closed,Fixed,"2015-04-08 17:44:55","2015-04-16 18:06:39",1,NULL,0,0,11541
25427,USERGRID-563,Story,Closed,Fixed,"2015-04-08 21:31:34","2015-04-15 21:24:26",3,NULL,0,0,10072
25423,USERGRID-567,Story,Closed,Fixed,"2015-04-10 14:36:33","2015-04-17 14:35:16",5,NULL,0,0,10078
25422,USERGRID-568,Story,Closed,Fixed,"2015-04-15 21:26:49","2015-04-17 16:33:17",3,NULL,2586,2586,2586
25418,USERGRID-572,Story,Closed,Fixed,"2015-04-16 17:26:46","2015-05-05 22:49:13",1,NULL,18908,18908,27682
25415,USERGRID-575,Story,Closed,Fixed,"2015-04-17 14:23:24","2015-04-21 21:25:21",3,NULL,0,0,6181
25414,USERGRID-576,Story,Closed,Done,"2015-04-17 14:26:01","2015-04-22 20:39:54",3,NULL,0,0,7573
25412,USERGRID-578,Bug,Closed,Fixed,"2015-04-17 16:35:12","2015-04-21 22:31:39",3,NULL,6116,6116,6116
25411,USERGRID-579,Bug,Closed,Fixed,"2015-04-19 18:57:02","2015-06-04 14:36:25",3,NULL,31381,31381,65979
25409,USERGRID-581,Story,Closed,Fixed,"2015-04-20 23:48:31","2015-04-21 17:43:22",3,NULL,1074,1074,1074
25408,USERGRID-582,Bug,Closed,Fixed,"2015-04-21 22:53:13","2015-04-22 15:53:25",3,NULL,1018,1018,1020
25406,USERGRID-584,Bug,Closed,Fixed,"2015-04-21 22:55:05","2015-05-28 23:59:16",1,NULL,1803,1803,53344
25405,USERGRID-585,Story,Closed,Done,"2015-04-21 22:57:15","2015-07-08 06:09:51",3,NULL,0,0,111312
25404,USERGRID-586,Story,Closed,Fixed,"2015-04-21 22:57:31","2015-07-01 21:59:03",3,NULL,8626,8626,102181
25403,USERGRID-587,Bug,Closed,Fixed,"2015-04-21 23:06:26","2015-05-28 16:10:58",1,NULL,11644,11644,52864
25402,USERGRID-588,Story,Closed,Fixed,"2015-04-21 23:09:01","2015-04-28 16:45:40",3,NULL,0,0,9696
25401,USERGRID-589,Story,Closed,Fixed,"2015-04-21 23:12:00","2015-06-03 21:08:47",3,NULL,14248,14248,61796
25399,USERGRID-592,Story,Closed,Done,"2015-04-22 19:40:26","2015-04-28 19:34:56",3,NULL,0,0,8634
25398,USERGRID-593,Story,Resolved,Fixed,"2015-04-23 17:36:05","2015-04-29 18:52:29",5,NULL,8716,8716,8716
