ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
308021,TESB-1,"Work Item",Closed,Fixed,"2010-12-07 18:59:30","2011-01-14 15:16:34",5,NULL,1,1,54497
308020,TESB-2,"Work Item",Closed,Fixed,"2010-12-07 19:00:02","2011-01-17 21:06:54",5,NULL,0,0,59166
308019,TESB-3,"Work Item",Closed,Fixed,"2010-12-07 19:00:30","2011-01-14 15:17:44",5,NULL,0,0,54497
308018,TESB-4,"Work Item",Closed,Fixed,"2010-12-07 19:01:09","2011-01-13 17:20:29",5,NULL,0,0,53179
308017,TESB-5,"Work Item",Closed,Fixed,"2010-12-07 19:01:59","2011-01-13 18:49:29",5,NULL,0,0,53267
308016,TESB-6,"Work Item",Closed,Fixed,"2010-12-07 20:00:06","2011-01-14 15:05:46",5,NULL,0,0,54425
307994,TESB-33,"Work Item",Closed,Fixed,"2010-12-10 18:41:15","2011-01-17 20:43:35",3,NULL,0,0,54842
307993,TESB-34,"Work Item",Closed,Fixed,"2010-12-10 19:12:08","2011-01-13 18:47:03",3,NULL,11364,11364,48934
307992,TESB-35,"Work Item",Closed,Fixed,"2010-12-10 19:17:08","2011-01-12 16:27:27",8,NULL,35,35,47350
307990,TESB-37,"New Feature",Done,Fixed,"2010-12-10 19:53:02","2011-01-12 20:46:14",3,NULL,0,3294296,47573
307988,TESB-39,"New Feature",Closed,Fixed,"2010-12-10 19:59:28","2011-01-17 20:31:44",5,NULL,0,0,54752
307978,TESB-54,Bug,Closed,Fixed,"2010-12-13 22:36:54","2011-11-23 15:00:41",1,NULL,1,1,496343
307958,TESB-151,"New Feature",Closed,Fixed,"2010-12-18 23:53:40","2011-10-07 13:34:02",3,NULL,0,0,421240
307951,TESB-158,"New Feature",Closed,Fixed,"2010-12-19 00:51:54","2011-01-28 19:10:02",3,NULL,0,0,58698
307912,TESB-203,"Work Item",Closed,Fixed,"2010-12-22 20:51:48","2011-03-24 14:47:07",5,NULL,0,0,132115
307911,TESB-205,"Work Item",Closed,Fixed,"2010-12-22 20:53:02","2011-02-03 19:05:55",3,NULL,0,0,61812
307910,TESB-208,"Work Item",Closed,Fixed,"2010-12-22 20:54:48","2011-02-03 19:06:53",5,NULL,0,0,61812
307909,TESB-209,"Work Item",Closed,Fixed,"2010-12-22 20:55:08","2011-02-03 19:05:39",3,NULL,0,0,61810
307874,TESB-281,"New Feature",Closed,Fixed,"2011-01-13 19:56:25","2011-10-07 13:31:03",2,NULL,0,0,384034
307873,TESB-282,"New Feature",Closed,Fixed,"2011-01-13 20:07:30","2011-02-08 20:00:37",3,NULL,0,0,37433
307822,TESB-368,"New Feature",Closed,Fixed,"2011-01-17 15:34:30","2011-02-14 15:11:28",3,NULL,0,0,40296
