ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
37021,APSTUD-23,Bug,Closed,Fixed,"2011-06-08 02:56:21","2012-08-09 14:37:34",8,NULL,1487,1487,617021
36856,APSTUD-190,Bug,Closed,Fixed,"2011-06-08 02:58:33","2012-05-07 18:43:13",13,NULL,48,48,481904
36401,APSTUD-769,Story,Closed,Fixed,"2011-06-08 03:10:37","2012-06-25 17:39:12",40,NULL,90042,90042,552388
36376,APSTUD-796,Bug,Closed,Fixed,"2011-06-08 03:11:26","2012-07-03 15:57:37",13,NULL,41,41,563806
36359,APSTUD-814,Improvement,Closed,Fixed,"2011-06-08 03:12:01","2012-12-15 00:23:15",13,NULL,1340,1340,800531
36341,APSTUD-832,Bug,Closed,Fixed,"2011-06-08 03:12:32","2012-05-02 18:31:48",8,NULL,5,5,474679
36182,APSTUD-994,Bug,Closed,Fixed,"2011-06-08 03:15:49","2012-06-21 17:49:32",5,NULL,0,0,546633
35881,APSTUD-1313,Story,Closed,Fixed,"2011-06-08 03:21:02","2011-06-09 18:09:04",1,NULL,0,0,2328
35817,APSTUD-1378,Bug,Closed,Fixed,"2011-06-08 03:22:01","2012-03-26 13:22:31",13,NULL,339,339,421080
35498,APSTUD-1698,Bug,Closed,Fixed,"2011-06-08 03:27:54","2012-07-12 14:51:41",5,NULL,25,25,576683
35358,APSTUD-1839,Improvement,Closed,Fixed,"2011-06-08 03:30:26","2012-11-07 00:08:44",5,NULL,126,126,745778
35309,APSTUD-1889,Bug,Closed,Fixed,"2011-06-08 03:31:29","2012-05-18 09:39:46",5,NULL,0,0,497168
35069,APSTUD-2129,Bug,Closed,Fixed,"2011-06-08 03:36:58","2012-06-04 10:51:13",5,NULL,8,8,521714
35064,APSTUD-2134,Story,Closed,Fixed,"2011-06-08 03:37:03","2011-07-20 17:22:05",1,NULL,0,0,61305
35012,APSTUD-2186,Story,Closed,Fixed,"2011-06-08 03:37:44","2012-08-13 16:05:03",20,NULL,7258,7258,622827
34958,APSTUD-2241,Story,Closed,Fixed,"2011-06-08 03:38:39","2012-01-29 09:42:36",89,NULL,0,0,338823
34947,APSTUD-2252,Story,Closed,Fixed,"2011-06-08 03:38:51","2011-08-01 13:34:50",1,NULL,0,0,78355
34914,APSTUD-2286,Improvement,Closed,Fixed,"2011-06-08 03:39:24","2012-08-29 06:44:40",8,NULL,6796,6796,645305
34773,APSTUD-2430,Bug,Closed,Fixed,"2011-06-08 03:42:49","2012-05-21 12:28:55",5,NULL,0,0,501646
34752,APSTUD-2451,Story,Closed,Fixed,"2011-06-08 03:43:15","2011-08-02 13:11:34",1,NULL,7206,7206,79768
34515,APSTUD-2691,Bug,Closed,Fixed,"2011-06-09 07:46:34","2012-04-27 15:41:25",20,NULL,3041,3041,465594
34496,APSTUD-2710,Story,Closed,Fixed,"2011-06-10 11:34:16","2011-07-11 15:54:31",1,NULL,0,0,44900
34479,APSTUD-2727,Story,Closed,Fixed,"2011-06-13 14:39:03","2011-06-13 14:40:13",1,NULL,0,0,1
34473,APSTUD-2733,Story,Closed,Fixed,"2011-06-13 23:22:25","2011-06-15 17:09:49",1,NULL,0,0,2507
34454,APSTUD-2752,Story,Closed,Fixed,"2011-06-15 14:18:11","2012-08-24 12:10:23",8,NULL,225,225,627712
34449,APSTUD-2758,Story,Closed,Fixed,"2011-06-16 15:35:25","2011-07-28 12:00:45",1,NULL,0,0,60265
34436,APSTUD-2771,Story,Closed,Fixed,"2011-06-20 10:21:04","2011-06-20 12:09:05",1,NULL,0,0,108
34435,APSTUD-2772,Story,Closed,Fixed,"2011-06-20 10:26:48","2011-07-11 07:11:38",1,NULL,4149,4149,30044
34432,APSTUD-2775,Story,Closed,Fixed,"2011-06-20 10:52:31","2011-06-20 12:48:55",1,NULL,11,11,116
34425,APSTUD-2782,Story,Closed,Fixed,"2011-06-21 12:26:27","2011-07-29 17:24:19",1,NULL,0,0,55017
34419,APSTUD-2789,Story,Closed,Fixed,"2011-06-22 08:45:32","2011-06-22 16:19:41",1,NULL,17,17,454
34412,APSTUD-2796,Story,Closed,Fixed,"2011-06-23 17:48:40","2011-06-23 18:07:59",1,NULL,18,18,19
34410,APSTUD-2798,Story,Closed,Fixed,"2011-06-24 08:19:38","2011-06-24 13:12:17",1,NULL,41,41,292
34399,APSTUD-2809,Story,Closed,Fixed,"2011-06-27 15:16:05","2011-07-28 12:38:07",1,NULL,0,0,44482
34397,APSTUD-2811,Bug,Closed,Fixed,"2011-06-27 17:57:11","2012-07-23 19:45:58",8,NULL,1625,1625,564588
34392,APSTUD-2816,Story,Closed,Fixed,"2011-06-29 10:14:12","2011-07-13 16:36:29",1,NULL,1355,1355,20542
34391,APSTUD-2817,Story,Closed,Fixed,"2011-06-29 10:20:14","2011-07-14 14:44:51",1,NULL,1236,1236,21864
34388,APSTUD-2820,Story,Closed,Fixed,"2011-06-29 10:41:57","2011-07-12 07:29:53",1,NULL,1353,1353,18527
34387,APSTUD-2821,Story,Closed,Fixed,"2011-06-29 10:46:46","2011-06-29 14:10:00",1,NULL,0,0,203
34385,APSTUD-2823,Story,Closed,Fixed,"2011-06-29 12:46:28","2011-06-29 12:47:02",1,NULL,0,0,0
34355,APSTUD-2853,Story,Closed,Fixed,"2011-06-30 21:11:38","2011-07-15 12:53:12",1,NULL,1261,1261,21101
34354,APSTUD-2854,Story,Closed,Fixed,"2011-06-30 21:19:33","2011-07-26 14:22:18",1,NULL,5549,5549,37022
34308,APSTUD-2901,Story,Closed,Fixed,"2011-07-06 00:42:25","2011-08-01 19:20:39",1,NULL,196,196,38558
34307,APSTUD-2902,Bug,Closed,Fixed,"2011-07-06 02:42:12","2012-06-29 12:33:39",5,NULL,1250,1250,517551
34269,APSTUD-2941,Story,Closed,Fixed,"2011-07-09 20:29:35","2011-07-12 15:39:44",1,NULL,0,0,4030
34229,APSTUD-2983,Bug,Closed,Fixed,"2011-07-14 09:07:03","2012-10-18 02:12:32",8,NULL,126,126,664865
34213,APSTUD-2999,Story,Closed,Fixed,"2011-07-17 17:17:21","2011-07-20 12:56:44",1,NULL,274,274,4059
34198,APSTUD-3014,Story,Closed,Fixed,"2011-07-19 10:38:01","2011-07-19 13:08:15",1,NULL,0,0,150
34167,APSTUD-3045,Story,Closed,Fixed,"2011-07-20 22:53:44","2011-07-21 07:34:29",1,NULL,0,0,520
34160,APSTUD-3053,Story,Closed,Fixed,"2011-07-21 14:05:08","2012-04-16 14:50:19",8,NULL,5128,5128,388845
34152,APSTUD-3061,Bug,Closed,Fixed,"2011-07-21 17:22:54","2012-06-28 19:56:37",13,NULL,0,0,494073
34087,APSTUD-3130,Story,Closed,Fixed,"2011-07-30 07:17:29","2012-03-14 08:35:31",20,NULL,0,0,328458
34085,APSTUD-3132,Story,Closed,Fixed,"2011-07-30 20:39:02","2011-07-30 21:24:55",1,NULL,0,0,45
34068,APSTUD-3149,Story,Closed,Fixed,"2011-08-01 15:13:44","2011-11-11 06:16:26",1,NULL,0,0,146402
33967,APSTUD-3250,Bug,Closed,Fixed,"2011-08-11 13:09:00","2012-04-06 15:40:45",8,NULL,1070,1070,344311
33874,APSTUD-3343,Bug,Closed,Fixed,"2011-08-20 13:51:13","2012-01-06 11:55:12",8,NULL,1300,1300,200103
33849,APSTUD-3368,Story,Closed,Fixed,"2011-08-24 13:09:50","2011-08-24 13:37:53",1,NULL,0,0,28
33841,APSTUD-3376,Story,Closed,Fixed,"2011-08-25 17:05:44","2012-05-29 03:34:50",5,NULL,0,0,399509
33837,APSTUD-3380,Story,Closed,Fixed,"2011-08-26 12:00:46","2011-12-05 06:56:26",1,NULL,96,96,145195
33836,APSTUD-3381,Story,Closed,Fixed,"2011-08-26 14:39:40","2011-08-31 15:25:02",1,NULL,7235,7235,7245
33815,APSTUD-3402,Story,Closed,Fixed,"2011-08-30 18:51:12","2011-11-17 05:41:32",1,NULL,0,0,113030
33795,APSTUD-3422,Bug,Closed,Fixed,"2011-09-06 15:17:11","2012-04-03 21:14:54",8,NULL,86,86,302757
33790,APSTUD-3427,Story,Closed,Fixed,"2011-09-07 08:23:30","2011-12-13 15:14:08",1,NULL,7294,7294,140150
33787,APSTUD-3430,Story,Closed,Fixed,"2011-09-07 12:49:31","2011-09-07 13:02:51",1,NULL,0,0,13
33786,APSTUD-3431,Story,Closed,Fixed,"2011-09-08 13:13:40","2011-11-22 11:34:48",1,NULL,152,152,107961
33736,APSTUD-3482,Story,Closed,Fixed,"2011-09-16 11:10:39","2011-09-19 11:40:44",1,NULL,0,0,4350
33726,APSTUD-3492,Improvement,Closed,Fixed,"2011-09-18 19:29:10","2012-03-08 06:30:21",8,NULL,96142,96142,246961
33677,APSTUD-3541,Bug,Closed,Fixed,"2011-09-23 08:19:35","2011-12-06 14:34:31",5,NULL,0,0,106994
33666,APSTUD-3552,Story,Closed,Fixed,"2011-09-26 07:01:19","2011-12-09 11:31:41",5,NULL,0,0,106890
33658,APSTUD-3560,Improvement,Closed,Fixed,"2011-09-28 06:38:03","2012-06-22 19:33:08",13,NULL,47,47,386695
33653,APSTUD-3565,Improvement,Closed,Fixed,"2011-09-29 06:42:08","2012-04-10 17:44:52",8,NULL,26,26,280022
33649,APSTUD-3569,Bug,Closed,Fixed,"2011-09-29 10:24:14","2012-03-12 16:43:04",13,NULL,0,0,238038
33638,APSTUD-3580,Story,Closed,Fixed,"2011-09-30 08:59:12","2011-12-20 11:50:28",1,NULL,110843,110843,116871
33633,APSTUD-3586,Bug,Closed,Fixed,"2011-10-02 03:11:48","2012-05-29 04:26:49",13,NULL,0,0,345675
33624,APSTUD-3595,Bug,Closed,Fixed,"2011-10-05 07:48:11","2012-02-24 16:16:05",20,NULL,5888,5888,205047
33620,APSTUD-3599,Improvement,Closed,Fixed,"2011-10-05 15:12:51","2012-05-21 09:43:48",8,NULL,1307,1307,329430
33609,APSTUD-3610,Bug,Closed,Fixed,"2011-10-07 06:36:35","2011-10-10 17:15:37",1,NULL,0,0,4959
33574,APSTUD-3650,Story,Closed,Fixed,"2011-10-11 14:06:30","2011-11-04 10:39:26",1,NULL,0,0,34412
33571,APSTUD-3653,Bug,Closed,Fixed,"2011-10-12 07:48:04","2012-02-08 14:36:37",5,NULL,0,0,171828
33558,APSTUD-3666,Story,Closed,Fixed,"2011-10-14 15:39:35","2011-10-18 11:36:50",1,NULL,5517,5517,5517
33549,APSTUD-3675,Improvement,Closed,Fixed,"2011-10-15 17:14:36","2012-04-11 14:13:25",8,NULL,3077,3077,257578
33536,APSTUD-3688,Story,Closed,Fixed,"2011-10-18 06:51:36","2012-03-22 05:46:33",1,NULL,0,0,224634
33535,APSTUD-3689,Story,Closed,Fixed,"2011-10-18 08:21:20","2011-12-12 11:16:21",5,NULL,13,13,79435
33533,APSTUD-3691,Story,Closed,Fixed,"2011-10-19 09:13:02","2012-01-09 12:41:51",8,NULL,0,0,118348
33530,APSTUD-3694,Bug,Closed,Fixed,"2011-10-19 18:36:32","2012-02-07 14:51:53",5,NULL,220,220,159675
33529,APSTUD-3695,Bug,Closed,Fixed,"2011-10-20 01:03:02","2012-02-09 09:21:13",8,NULL,46,46,161838
33528,APSTUD-3696,Story,Closed,Fixed,"2011-10-20 16:09:20","2011-10-20 16:31:41",1,NULL,0,0,22
33527,APSTUD-3697,Story,Closed,Fixed,"2011-10-20 16:10:08","2011-10-20 16:32:02",1,NULL,0,0,21
33525,APSTUD-3699,Story,Closed,Fixed,"2011-10-20 16:36:49","2011-10-27 07:26:13",1,NULL,1456,1456,9529
33511,APSTUD-3713,Bug,Closed,Fixed,"2011-10-24 09:56:06","2012-01-09 12:39:26",8,NULL,0,0,111103
33502,APSTUD-3722,Bug,Closed,Fixed,"2011-10-25 14:34:12","2012-04-09 15:57:27",5,NULL,8,8,240563
33501,APSTUD-3723,Story,Closed,Fixed,"2011-10-25 14:39:33","2011-11-01 15:28:56",1,NULL,0,0,10189
33463,APSTUD-3761,Story,Closed,Fixed,"2011-10-28 11:47:23","2011-11-15 07:04:04",1,NULL,5669,5669,25696
33457,APSTUD-3767,Story,Closed,Fixed,"2011-10-30 09:37:53","2011-11-01 15:22:00",1,NULL,0,0,3224
33448,APSTUD-3776,Bug,Closed,Fixed,"2011-10-31 17:48:07","2012-02-07 13:51:16",8,NULL,174,174,142323
33446,APSTUD-3778,Improvement,Closed,Fixed,"2011-10-31 18:03:15","2012-02-23 09:28:25",13,NULL,1485,1485,165085
33438,APSTUD-3786,Story,Closed,Fixed,"2011-11-01 14:58:25","2012-12-20 20:23:14",1,NULL,0,0,597924
