ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
63605,JSWCLOUD-2919,Suggestion,Closed,Fixed,"2011-03-29 08:03:14","2011-04-04 00:40:21",5,NULL,5766,5766,8197
63593,JSWCLOUD-2989,Suggestion,Closed,Answered,"2011-04-19 03:16:48","2013-07-25 05:06:20",2,NULL,0,0,1192429
63590,JSWCLOUD-2994,Suggestion,Closed,Answered,"2011-04-20 02:50:05","2013-07-25 05:08:00",3,NULL,0,0,1191017
63450,JSWCLOUD-3772,Suggestion,Closed,Fixed,"2011-09-27 00:12:47","2012-11-09 04:34:43",2,NULL,2733,5802,589281
63348,JSWCLOUD-3993,Suggestion,Closed,Fixed,"2011-11-08 04:03:37","2012-05-22 04:52:50",2,NULL,0,5794,282229
63140,JSWCLOUD-4478,Suggestion,Closed,Fixed,"2012-02-02 03:02:06","2012-03-05 03:11:53",2,NULL,225,5927,46089
63133,JSWCLOUD-4503,Suggestion,Closed,Fixed,"2012-02-03 04:14:32","2012-03-09 04:18:00",8,NULL,12973,15770,50403
63127,JSWCLOUD-4520,Suggestion,Closed,Fixed,"2012-02-07 04:53:24","2012-02-13 00:07:34",1,NULL,82,6979,8354
63126,JSWCLOUD-4521,Suggestion,Closed,Fixed,"2012-02-07 05:09:50","2012-03-06 23:51:13",1,NULL,40270,40270,41441
63106,JSWCLOUD-4547,Suggestion,Closed,Fixed,"2012-02-09 23:08:11","2012-03-11 23:16:57",2,NULL,3028,19886,44648
63078,JSWCLOUD-4655,Suggestion,Closed,Fixed,"2012-02-22 00:29:29","2012-03-05 07:21:07",8,NULL,6935,7347,17691
63076,JSWCLOUD-4659,Suggestion,Closed,Fixed,"2012-02-22 01:06:00","2012-03-04 22:11:27",2,NULL,1098,6710,17105
63073,JSWCLOUD-4662,Suggestion,Closed,Fixed,"2012-02-22 02:06:09","2012-03-05 01:18:59",5,NULL,3499,8710,17232
63041,JSWCLOUD-4711,Suggestion,Closed,Fixed,"2012-03-02 00:34:14","2012-03-08 01:25:49",2,NULL,0,2569,8691
63036,JSWCLOUD-4734,Suggestion,Closed,Fixed,"2012-03-06 03:50:16","2012-03-21 06:33:49",5,NULL,6784,8797,21763
63029,JSWCLOUD-4765,Suggestion,Closed,Fixed,"2012-03-07 05:00:21","2012-04-04 05:55:02",8,NULL,8871,10334,40314
63028,JSWCLOUD-4766,Suggestion,Closed,Fixed,"2012-03-07 05:06:00","2012-03-26 00:13:39",8,NULL,10356,15880,27007
63027,JSWCLOUD-4767,Suggestion,Closed,Fixed,"2012-03-07 05:09:08","2012-05-18 06:53:49",8,NULL,2807,4525,103724
63026,JSWCLOUD-4768,Suggestion,Closed,Fixed,"2012-03-07 05:25:59","2012-05-03 05:12:08",13,NULL,14189,14339,82006
63024,JSWCLOUD-4772,Suggestion,Closed,Fixed,"2012-03-08 04:12:43","2012-03-20 05:57:09",13,NULL,4639,9007,17384
63023,JSWCLOUD-4773,Suggestion,Closed,Fixed,"2012-03-08 04:34:39","2012-03-19 00:28:30",5,NULL,2945,9782,15593
63021,JSWCLOUD-4775,Suggestion,Closed,Fixed,"2012-03-08 04:45:02","2012-03-19 04:25:14",20,NULL,9961,10170,15820
63020,JSWCLOUD-4776,Suggestion,Closed,Fixed,"2012-03-08 04:55:46","2012-04-12 06:51:24",13,NULL,17138,20352,50455
63013,JSWCLOUD-4792,Suggestion,Closed,Fixed,"2012-03-11 23:47:45","2012-03-13 05:29:48",2,NULL,107,1553,1782
63011,JSWCLOUD-4794,Suggestion,Closed,Fixed,"2012-03-12 01:09:40","2012-03-14 04:14:12",2,NULL,1657,3041,3064
63003,JSWCLOUD-4812,Suggestion,Closed,Fixed,"2012-03-16 00:42:48","2012-04-13 07:36:57",8,NULL,21931,25969,40674
63002,JSWCLOUD-4813,Suggestion,Closed,Fixed,"2012-03-16 00:51:15","2012-03-21 03:17:45",5,NULL,2488,2672,7346
62988,JSWCLOUD-4862,Suggestion,Closed,Fixed,"2012-03-21 03:22:41","2012-05-11 08:11:15",5,NULL,1595,3123,73668
62987,JSWCLOUD-4863,Suggestion,Closed,Fixed,"2012-03-21 03:39:09","2012-04-12 06:51:01",20,NULL,14739,24802,31811
62986,JSWCLOUD-4864,Suggestion,Closed,Fixed,"2012-03-21 05:10:44","2012-04-03 07:27:31",1,NULL,33,11650,18796
62980,JSWCLOUD-4877,Suggestion,Closed,Fixed,"2012-03-26 01:32:25","2012-03-28 05:59:55",5,NULL,1789,3147,3147
62976,JSWCLOUD-4888,Suggestion,Closed,Fixed,"2012-03-28 08:14:10","2012-04-04 05:55:13",8,NULL,1424,2887,9941
62964,JSWCLOUD-4906,Suggestion,Closed,Fixed,"2012-04-05 02:04:07","2012-04-12 02:22:52",2,NULL,1352,2631,10098
62961,JSWCLOUD-4910,Suggestion,Closed,Fixed,"2012-04-09 23:19:57","2012-05-15 08:34:49",8,NULL,7302,11875,50954
62960,JSWCLOUD-4911,Suggestion,Closed,Fixed,"2012-04-09 23:30:13","2012-04-26 08:13:14",5,NULL,260,4537,23563
62959,JSWCLOUD-4913,Suggestion,Closed,Fixed,"2012-04-10 00:17:47","2012-05-18 01:49:18",20,NULL,11893,14505,54811
62958,JSWCLOUD-4914,Suggestion,Closed,Fixed,"2012-04-10 00:26:11","2012-04-18 07:24:06",8,NULL,8463,8702,11937
62957,JSWCLOUD-4915,Suggestion,Closed,Fixed,"2012-04-10 00:34:14","2012-04-26 08:12:59",13,NULL,16977,21725,23498
62956,JSWCLOUD-4916,Suggestion,Closed,Fixed,"2012-04-10 00:36:46","2012-06-04 07:58:55",8,NULL,2730,3232,79642
62953,JSWCLOUD-4919,Suggestion,Closed,Fixed,"2012-04-10 01:27:56","2012-04-26 08:13:06",13,NULL,12592,14557,23445
62952,JSWCLOUD-4920,Suggestion,Closed,Fixed,"2012-04-10 01:29:36","2012-05-09 06:07:17",5,NULL,1612,2934,42037
62932,JSWCLOUD-4966,Suggestion,Closed,Fixed,"2012-04-17 04:44:55","2012-05-07 01:25:45",5,NULL,5579,5717,28600
62931,JSWCLOUD-4967,Suggestion,Closed,Fixed,"2012-04-17 05:00:25","2012-05-03 08:19:26",3,NULL,0,0,23239
62928,JSWCLOUD-4970,Suggestion,Closed,Fixed,"2012-04-17 05:32:06","2012-05-08 07:31:12",3,NULL,0,1697,30359
62927,JSWCLOUD-4971,Suggestion,Closed,Fixed,"2012-04-17 05:34:11","2012-05-03 08:20:33",8,NULL,0,0,23206
62926,JSWCLOUD-4972,Suggestion,Closed,Fixed,"2012-04-17 05:56:55","2012-05-17 01:34:02",20,NULL,11479,14347,42937
62912,JSWCLOUD-5004,Suggestion,Closed,Fixed,"2012-04-23 00:14:04","2012-04-24 01:27:42",3,NULL,59,1252,1513
62908,JSWCLOUD-5011,Suggestion,Closed,Fixed,"2012-04-24 05:58:35","2012-05-02 06:42:30",1,NULL,1244,8637,11563
62893,JSWCLOUD-5039,Suggestion,Closed,Fixed,"2012-05-01 04:44:47","2012-05-11 06:44:23",1,NULL,265,4226,14519
62884,JSWCLOUD-5072,Suggestion,Closed,Fixed,"2012-05-02 15:53:46","2012-09-05 05:44:05",5,NULL,2630,2764,180830
62882,JSWCLOUD-5077,Suggestion,Closed,Fixed,"2012-05-03 05:30:03","2012-06-19 07:16:09",3,NULL,2943,18826,67786
62879,JSWCLOUD-5085,Suggestion,Closed,Fixed,"2012-05-03 07:48:46","2012-06-21 01:03:29",8,NULL,10480,21653,70154
62878,JSWCLOUD-5087,Suggestion,Closed,Fixed,"2012-05-03 07:53:37","2012-06-21 01:03:20",5,NULL,1701,2707,70149
62876,JSWCLOUD-5089,Suggestion,Closed,Fixed,"2012-05-03 08:01:45","2012-06-19 01:34:12",5,NULL,17297,18344,67292
62875,JSWCLOUD-5090,Suggestion,Closed,Fixed,"2012-05-03 08:04:00","2012-06-21 00:17:32",2,NULL,47,1337,70093
62864,JSWCLOUD-5106,Suggestion,Closed,Fixed,"2012-05-07 00:18:43","2012-05-24 03:38:55",3,NULL,3151,4459,24680
62863,JSWCLOUD-5107,Suggestion,Closed,Fixed,"2012-05-07 05:14:42","2012-06-25 05:08:53",5,NULL,1,4475,70554
62858,JSWCLOUD-5115,Suggestion,Closed,Fixed,"2012-05-08 05:00:57","2012-05-24 04:50:56",8,NULL,409,4235,23029
62856,JSWCLOUD-5118,Suggestion,Closed,Fixed,"2012-05-08 19:33:21","2013-01-11 05:03:23",2,NULL,8993,13257,356310
62824,JSWCLOUD-5193,Suggestion,Closed,Fixed,"2012-05-16 05:43:41","2012-05-22 01:12:52",2,NULL,142,1128,8369
62823,JSWCLOUD-5194,Suggestion,Closed,Fixed,"2012-05-16 05:43:58","2012-05-22 01:12:59",2,NULL,58,1044,8369
62822,JSWCLOUD-5195,Suggestion,Closed,Fixed,"2012-05-16 06:09:50","2012-05-29 02:03:46",2,NULL,16,1442,18473
62812,JSWCLOUD-5214,Suggestion,Closed,Fixed,"2012-05-21 02:27:43","2012-05-24 03:12:29",3,NULL,1506,2657,4364
62811,JSWCLOUD-5215,Suggestion,Closed,Fixed,"2012-05-21 03:21:05","2012-05-23 06:25:33",2,NULL,356,1669,3064
62809,JSWCLOUD-5218,Suggestion,Closed,Fixed,"2012-05-21 03:23:53","2012-05-28 05:21:03",8,NULL,1351,5732,10197
60237,JSWCLOUD-9587,Suggestion,Closed,Fixed,"2012-05-24 20:20:17","2013-09-23 09:22:52",5,NULL,0,0,700622
62785,JSWCLOUD-5255,Suggestion,Closed,Fixed,"2012-05-29 01:58:52","2012-06-19 04:00:59",3,NULL,1730,30361,30362
62777,JSWCLOUD-5268,Suggestion,Closed,Fixed,"2012-05-31 03:20:55","2012-08-21 07:29:36",5,NULL,21884,38709,118328
62765,JSWCLOUD-5289,Suggestion,Closed,Fixed,"2012-06-07 02:03:21","2013-06-28 02:10:15",1,NULL,354,15547,555846
62737,JSWCLOUD-5329,Suggestion,Closed,Fixed,"2012-06-14 03:29:26","2012-06-19 04:20:00",1,NULL,83,184,7250
62736,JSWCLOUD-5330,Suggestion,Closed,Fixed,"2012-06-14 03:29:57","2012-06-19 08:11:09",3,NULL,191,382,7481
62727,JSWCLOUD-5341,Suggestion,Closed,Fixed,"2012-06-15 01:37:42","2012-08-16 01:15:13",3,NULL,382,4259,89257
62721,JSWCLOUD-5348,Suggestion,Closed,Fixed,"2012-06-18 02:36:24","2012-06-20 07:15:54",5,NULL,38,1376,3159
62676,JSWCLOUD-5413,Suggestion,Closed,Fixed,"2012-07-03 13:06:26","2012-08-21 05:49:27",2,NULL,1427,29257,70123
62673,JSWCLOUD-5418,Suggestion,Closed,Fixed,"2012-07-04 05:37:17","2012-08-21 05:51:29",2,NULL,121,7476,69134
62600,JSWCLOUD-5542,Suggestion,Closed,Fixed,"2012-07-30 00:43:42","2012-09-04 05:47:01",3,NULL,1554,1626,52143
62599,JSWCLOUD-5543,Suggestion,Closed,Fixed,"2012-07-30 00:44:06","2012-08-21 07:19:51",5,NULL,5815,20418,32075
62598,JSWCLOUD-5544,Suggestion,Closed,Fixed,"2012-07-30 00:44:37","2012-08-28 07:55:16",5,NULL,13167,20411,42190
62597,JSWCLOUD-5545,Suggestion,Closed,Fixed,"2012-07-30 01:38:48","2012-08-23 02:48:35",5,NULL,5895,8374,34629
62583,JSWCLOUD-5567,Suggestion,Closed,Fixed,"2012-08-02 06:41:26","2012-08-16 04:58:03",1,NULL,1113,4156,20056
62582,JSWCLOUD-5568,Suggestion,Closed,Fixed,"2012-08-02 07:21:37","2012-09-19 03:27:53",8,NULL,11358,17296,68886
62573,JSWCLOUD-5583,Suggestion,Closed,Fixed,"2012-08-06 06:29:42","2012-08-22 04:31:52",8,NULL,1513,13184,22922
62567,JSWCLOUD-5603,Suggestion,Closed,Fixed,"2012-08-08 01:18:52","2012-08-15 05:07:02",3,NULL,340,2815,10308
62560,JSWCLOUD-5616,Suggestion,Closed,Fixed,"2012-08-10 07:16:04","2012-08-31 02:03:29",2,NULL,1138,5548,29927
62559,JSWCLOUD-5619,Suggestion,Closed,Fixed,"2012-08-11 23:06:34","2012-09-25 08:06:17",2,NULL,233,369,63899
62537,JSWCLOUD-5660,Suggestion,Closed,Fixed,"2012-08-17 07:48:11","2012-11-09 03:57:45",1,NULL,49172,50494,120789
62512,JSWCLOUD-5691,Suggestion,Closed,Fixed,"2012-08-21 06:32:32","2012-10-02 06:30:54",3,NULL,1369,7139,60478
62508,JSWCLOUD-5703,Suggestion,Closed,Fixed,"2012-08-22 01:43:54","2012-08-27 08:06:50",1,NULL,64,304,7582
62494,JSWCLOUD-5735,Suggestion,Closed,Fixed,"2012-08-23 06:58:00","2012-09-06 02:31:11",13,NULL,8726,11298,19893
62493,JSWCLOUD-5737,Suggestion,Closed,Fixed,"2012-08-24 05:32:41","2012-08-29 05:29:42",5,NULL,0,0,7197
62476,JSWCLOUD-5771,Suggestion,Closed,Fixed,"2012-08-29 14:12:51","2012-09-19 03:28:50",1,NULL,5858,8519,29595
62475,JSWCLOUD-5773,Suggestion,Closed,Fixed,"2012-08-29 15:50:29","2013-07-01 02:12:04",1,NULL,1148,39949,439821
62446,JSWCLOUD-5831,Suggestion,Closed,Fixed,"2012-09-05 02:50:59","2012-11-05 00:50:04",5,NULL,8177,13969,87779
62445,JSWCLOUD-5832,Suggestion,Closed,Fixed,"2012-09-05 02:51:54","2012-09-25 22:45:44",3,NULL,8584,9917,29993
62444,JSWCLOUD-5833,Suggestion,Closed,Fixed,"2012-09-05 02:52:42","2012-11-07 23:16:08",2,NULL,1314,4225,92003
62443,JSWCLOUD-5834,Suggestion,Closed,Fixed,"2012-09-05 02:54:12","2013-01-08 05:59:52",3,NULL,434,1762,180245
62442,JSWCLOUD-5835,Suggestion,Closed,Fixed,"2012-09-05 02:54:43","2012-12-14 03:50:11",5,NULL,1720,4652,144115
62439,JSWCLOUD-5841,Suggestion,Closed,Fixed,"2012-09-05 08:34:03","2012-09-17 02:46:41",1,NULL,0,7181,16932
62437,JSWCLOUD-5843,Suggestion,Closed,Fixed,"2012-09-05 08:35:04","2012-09-17 02:46:35",3,NULL,1521,8703,16931
62424,JSWCLOUD-5875,Suggestion,Closed,Fixed,"2012-09-07 02:42:27","2013-06-03 08:20:25",3,NULL,21354,30619,387697
62423,JSWCLOUD-5877,Suggestion,Closed,Fixed,"2012-09-07 06:29:30","2013-01-30 06:08:10",8,NULL,11637,13280,208838
62389,JSWCLOUD-5927,Suggestion,Closed,Fixed,"2012-09-13 01:48:10","2013-01-16 03:25:48",3,NULL,10184,12930,180157
62382,JSWCLOUD-5941,Suggestion,Closed,Fixed,"2012-09-14 13:11:42","2012-10-16 09:04:11",5,NULL,3244,9131,45832
62378,JSWCLOUD-5945,Suggestion,Closed,Fixed,"2012-09-17 08:15:17","2012-10-03 05:03:21",3,NULL,1793,10245,22848
62364,JSWCLOUD-5994,Suggestion,Closed,Fixed,"2012-09-20 08:44:28","2012-10-03 04:12:21",2,NULL,2873,11265,18447
62351,JSWCLOUD-6011,Suggestion,Closed,Fixed,"2012-09-24 01:39:58","2012-10-05 06:26:15",1,NULL,2219,4307,16126
62305,JSWCLOUD-6073,Suggestion,Closed,Fixed,"2012-10-02 06:28:08","2012-10-17 07:14:18",1,NULL,4625,11747,21646
62303,JSWCLOUD-6077,Suggestion,Closed,Fixed,"2012-10-03 00:26:17","2012-10-16 02:29:07",3,NULL,1603,11444,18842
62302,JSWCLOUD-6078,Suggestion,Closed,Fixed,"2012-10-03 00:27:08","2012-10-12 01:37:43",2,NULL,151,2505,13030
62301,JSWCLOUD-6079,Suggestion,Closed,Fixed,"2012-10-03 00:27:29","2012-10-16 05:08:13",2,NULL,1483,8624,19000
62300,JSWCLOUD-6080,Suggestion,Closed,Fixed,"2012-10-03 00:29:29","2012-10-12 01:09:07",1,NULL,275,4123,12999
62299,JSWCLOUD-6081,Suggestion,Closed,Fixed,"2012-10-03 00:31:22","2012-10-15 01:42:14",2,NULL,324,4307,17350
62298,JSWCLOUD-6082,Suggestion,Closed,Fixed,"2012-10-03 00:32:04","2012-10-16 05:12:02",1,NULL,5548,7373,18999
62297,JSWCLOUD-6083,Suggestion,Closed,Fixed,"2012-10-03 00:34:23","2012-11-08 22:05:31",2,NULL,3312,11486,53191
62296,JSWCLOUD-6084,Suggestion,Closed,Fixed,"2012-10-03 00:34:45","2012-11-08 22:05:56",3,NULL,3472,13010,53191
62295,JSWCLOUD-6085,Suggestion,Closed,Fixed,"2012-10-03 00:35:48","2012-10-12 01:07:19",2,NULL,1282,2458,12991
62294,JSWCLOUD-6086,Suggestion,Closed,Fixed,"2012-10-03 00:36:16","2012-10-17 00:04:50",3,NULL,1596,2528,20128
62292,JSWCLOUD-6090,Suggestion,Closed,Fixed,"2012-10-03 00:39:35","2012-10-30 03:19:22",5,NULL,8785,11695,39099
62291,JSWCLOUD-6091,Suggestion,Closed,Fixed,"2012-10-03 00:39:56","2012-10-12 01:33:10",1,NULL,188,1365,13013
62288,JSWCLOUD-6110,Suggestion,Closed,Fixed,"2012-10-03 06:33:29","2012-10-10 04:02:01",2,NULL,2712,2861,9928
