ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
43086,CWD-4862,Fixed,3,0,0,1380903,NULL
44251,CWD-3195,Fixed,35,113660,134171,373026,NULL
44380,CWD-3022,Fixed,1,22,1015,1044,NULL
44414,CWD-2970,Fixed,15,1567,3249,3257,NULL
44426,CWD-2956,Fixed,13,2727,2727,11031,NULL
44430,CWD-2950,Fixed,53,34,15780,53192,3
44440,CWD-2940,Fixed,38,10151,10151,29008,NULL
44451,CWD-2924,Fixed,33,4202,14293,27161,NULL
44490,CWD-2876,Fixed,22,0,1304,153705,NULL
44525,CWD-2835,Fixed,379,5600,11770,192928,NULL
44604,CWD-2732,Fixed,22,1672,31399,511831,3
44645,CWD-2685,Fixed,16,1514,13466,594774,1
44653,CWD-2676,Fixed,2700,7211,7211,200098,NULL
44660,CWD-2668,Fixed,90,0,940,1196,NULL
44685,CWD-2640,Fixed,300,2,2460,20682,NULL
44686,CWD-2639,Fixed,360,8,3874,18811,NULL
44703,CWD-2617,Fixed,7,0,121,126,NULL
44723,CWD-2593,Fixed,840,10364,10364,424936,NULL
44728,CWD-2587,Fixed,360,52,118,24158,NULL
44731,CWD-2584,Fixed,120,8,21368,21372,NULL
44732,CWD-2583,Fixed,300,342,486,27675,NULL
44735,CWD-2580,Fixed,120,10,31291,31292,NULL
44737,CWD-2578,Fixed,480,38,22958,22959,NULL
44739,CWD-2576,Fixed,1230,0,5766,24915,NULL
44744,CWD-2568,Fixed,60,2758,2758,12798,NULL
44745,CWD-2566,Fixed,120,1082,31280,43118,NULL
44746,CWD-2565,Fixed,480,43,5624,12910,NULL
44749,CWD-2561,Fixed,180,89,2496,4381,NULL
44753,CWD-2556,Fixed,120,0,2648,2727,NULL
44764,CWD-2543,Fixed,840,0,0,23134,NULL
44765,CWD-2542,Fixed,600,0,3058,18729,NULL
44780,CWD-2520,Fixed,480,0,5577,28406,NULL
44781,CWD-2519,Fixed,60,0,0,48619,NULL
44782,CWD-2518,Fixed,240,90441,90441,92013,NULL
44796,CWD-2502,Fixed,60,5351,24278,24297,NULL
44816,CWD-2460,Fixed,180,5,1704,162710,NULL
44822,CWD-2450,Fixed,840,3898,5686,30364,NULL
44837,CWD-2430,Fixed,480,15678,16945,144970,NULL
44838,CWD-2427,Fixed,1440,0,0,27576,NULL
44843,CWD-2422,Fixed,60,0,0,128252,NULL
44845,CWD-2420,Fixed,240,0,55913,56118,NULL
44850,CWD-2415,Fixed,7,0,12525,31390,NULL
44851,CWD-2414,Fixed,420,1280,4157,234839,NULL
44853,CWD-2412,Fixed,360,176,176,4559,NULL
44854,CWD-2411,Fixed,960,3104,3104,4527,NULL
44855,CWD-2410,Fixed,540,234,234,1647,NULL
44856,CWD-2409,Fixed,360,0,0,325,NULL
44857,CWD-2408,Fixed,13,0,0,4620,NULL
44858,CWD-2407,Fixed,7,3062,7083,165287,NULL
