ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
266706,TBD-9823,Fixed,240,1440,2899,52207,NULL
267378,TBD-7049,Fixed,240,4446,5612,6524,0.5
268786,TBD-3872,Fixed,300,279,4801,4804,NULL
268888,TBD-3692,Fixed,240,1336,21147,5739,NULL
268923,TBD-3639,Fixed,960,2973,3820,39924,NULL
269005,TBD-3475,Fixed,1230,8266,28486,28256,NULL
269054,TBD-3378,Fixed,240,400,91755,28774,NULL
269190,TBD-3131,Fixed,480,11287,234104,17214,NULL
269332,TBD-2903,Fixed,480,5690,81672,391115,NULL
269338,TBD-2895,Fixed,240,81,6270,2671,NULL
269425,TBD-2719,Fixed,36,34,210731,244840,NULL
269537,TBD-2533,Fixed,960,14393,162584,94776,NULL
269587,TBD-2430,Fixed,300,1242,21257,70207,NULL
269804,TBD-2017,Fixed,420,5718,173917,29557,NULL
269829,TBD-1978,Fixed,0,1264,32255,30407,NULL
269884,TBD-1869,Fixed,30,2,16968,1269,NULL
270078,TBD-1577,Fixed,2580,11602,373575,48957,NULL
270144,TBD-1451,Fixed,240,326,11604,103643,NULL
270190,TBD-1385,Fixed,240,334,957724,20076,NULL
270219,TBD-1333,Fixed,24,21,18327,8955,NULL
270240,TBD-1297,Fixed,360,406,1751027,1751054,NULL
270244,TBD-1288,Fixed,260,500,76478,533987,NULL
270246,TBD-1285,Fixed,540,2705,134978,79171,NULL
270296,TBD-1187,Fixed,30,7,31443,19859,NULL
270333,TBD-1117,Fixed,1140,20859,38153,27850,NULL
270343,TBD-1104,Fixed,240,3235,40093,17221,NULL
270348,TBD-1096,Fixed,1590,18603,223038,254537,NULL
270354,TBD-1090,Fixed,495,6398,238209,128129,NULL
270405,TBD-1020,Fixed,360,341,8768,17924,NULL
270418,TBD-1000,Fixed,480,1489,250561,250795,NULL
270423,TBD-995,Fixed,180,0,11757,17208,NULL
270430,TBD-988,Fixed,1440,27,227606,237822,NULL
270436,TBD-981,Fixed,480,1944,30281,111032,NULL
270437,TBD-980,Fixed,2220,21016,67665,32072,NULL
270438,TBD-977,Fixed,60,0,56278,289,NULL
270442,TBD-971,Fixed,780,5284,236153,251457,NULL
270444,TBD-968,Fixed,360,1511,33415,25930,NULL
270445,TBD-967,Fixed,240,4351,40327,15604,NULL
270450,TBD-951,Fixed,60,25,27614,11450,NULL
270452,TBD-945,Fixed,4800,34559,740088,381574,NULL
