ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
292070,TESB-30040,Fixed,240,1,1,5894,NULL
292071,TESB-30039,Fixed,180,5740,5740,5893,NULL
292078,TESB-29781,Fixed,60,499,499,499,NULL
292093,TESB-29437,Fixed,480,5255,5255,5299,NULL
292098,TESB-29317,Fixed,2760,19203,19203,19204,NULL
292116,TESB-29176,Fixed,75,2,2,3,NULL
292124,TESB-28271,Fixed,480,980,41325,264486,NULL
292351,TESB-26367,Fixed,227,1485,1485,1485,NULL
297351,TESB-13416,Fixed,540,2509,2169523,19740,NULL
299277,TESB-10779,Fixed,480,0,0,25,NULL
299900,TESB-10040,Fixed,0,269,2396174,223397,NULL
301822,TESB-7866,Fixed,240,9166,9166,9166,NULL
302017,TESB-7653,Fixed,180,2,21365,21664,NULL
302280,TESB-7347,Fixed,240,27181,41423,73125,NULL
303533,TESB-5943,Fixed,120,8925,8925,8925,NULL
303610,TESB-5857,Fixed,60,0,0,1,NULL
303883,TESB-5533,Fixed,480,1508,6941,8449,NULL
303963,TESB-5437,Fixed,180,1041,1041,1041,NULL
303984,TESB-5414,Fixed,120,4231,4231,5462,NULL
303985,TESB-5413,Fixed,180,5459,5459,5463,NULL
304039,TESB-5348,Fixed,60,323,323,324,NULL
304211,TESB-5157,Fixed,60,0,223450,180542,1
304375,TESB-4972,Fixed,120,139,139,139,NULL
304383,TESB-4960,Fixed,180,0,0,0,NULL
304402,TESB-4933,Fixed,180,0,0,1,NULL
304484,TESB-4820,Fixed,360,6768,6768,15508,NULL
304485,TESB-4819,Fixed,180,0,0,15977,NULL
304486,TESB-4818,Fixed,360,5742,5742,6841,NULL
304970,TESB-4198,Fixed,60,0,0,0,NULL
304986,TESB-4178,Fixed,60,0,0,0,NULL
304987,TESB-4177,Fixed,60,0,0,0,NULL
305126,TESB-3993,Fixed,180,10186,109594,22568,1
305235,TESB-3841,Fixed,180,4005,4005,4007,NULL
305241,TESB-3831,Fixed,360,965,965,1121,NULL
305288,TESB-3774,Fixed,120,431,431,6098,NULL
305290,TESB-3772,Fixed,120,5334,5334,5669,NULL
305408,TESB-3644,Fixed,180,0,0,0,NULL
305492,TESB-3557,Fixed,360,5619,5619,5670,NULL
305639,TESB-3386,Fixed,120,0,0,4152,NULL
305660,TESB-3365,Fixed,180,7242,7242,15860,NULL
305677,TESB-3347,Fixed,60,0,0,0,NULL
