ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
55530,JSWCLOUD-17323,Fixed,30,219603,220762,1313330,NULL
63724,JSWCLOUD-2072,Fixed,600,0,0,2991,NULL
63726,JSWCLOUD-2023,Fixed,300,0,0,265,NULL
63727,JSWCLOUD-2014,Fixed,180,0,0,3757,NULL
63728,JSWCLOUD-2013,Fixed,600,0,0,3758,NULL
63731,JSWCLOUD-1989,Fixed,1200,0,0,28746,NULL
63732,JSWCLOUD-1988,Fixed,420,8250,8250,34391,NULL
63738,JSWCLOUD-1919,Fixed,180,0,0,5,NULL
63739,JSWCLOUD-1918,Fixed,30,0,0,5,NULL
63741,JSWCLOUD-1916,Fixed,120,0,0,80,NULL
63744,JSWCLOUD-1913,Fixed,30,0,0,5760,NULL
63746,JSWCLOUD-1901,Fixed,180,0,0,2009,NULL
63748,JSWCLOUD-1897,Fixed,660,4211,4211,11644,NULL
63749,JSWCLOUD-1896,Fixed,300,1011,1011,4422,NULL
63750,JSWCLOUD-1895,Fixed,300,974,974,20162,NULL
63751,JSWCLOUD-1894,Fixed,240,0,0,19190,NULL
63752,JSWCLOUD-1893,Fixed,1,1753,1753,20165,NULL
63769,JSWCLOUD-1672,Fixed,420,53,53,16867,NULL
63770,JSWCLOUD-1671,Fixed,720,1983,1983,2924,NULL
63781,JSWCLOUD-1235,Fixed,180,0,0,6533,NULL
63782,JSWCLOUD-1234,Fixed,240,0,0,4243,NULL
63783,JSWCLOUD-1232,Fixed,360,0,0,3145,NULL
63784,JSWCLOUD-1231,Fixed,180,0,0,1111,NULL
63785,JSWCLOUD-1230,Fixed,360,1607,1607,11976,NULL
63786,JSWCLOUD-1229,Fixed,240,0,0,426,NULL
63787,JSWCLOUD-1228,Fixed,180,0,0,143,NULL
63790,JSWCLOUD-1190,Fixed,420,2506,2506,3188,NULL
63791,JSWCLOUD-1189,Fixed,420,681,681,682,NULL
63796,JSWCLOUD-1144,Fixed,180,0,0,760,NULL
63797,JSWCLOUD-1139,Fixed,1,154,154,154,NULL
63800,JSWCLOUD-1128,Fixed,1,0,0,5735,NULL
63801,JSWCLOUD-1127,Fixed,1,4380,4380,5736,NULL
63802,JSWCLOUD-1126,Fixed,1,0,0,5736,NULL
63803,JSWCLOUD-1125,Fixed,600,0,0,10788,NULL
63804,JSWCLOUD-1124,Fixed,121,0,0,31416,NULL
63808,JSWCLOUD-1097,Fixed,60,0,0,1,NULL
63809,JSWCLOUD-1096,Fixed,60,0,0,1,NULL
63810,JSWCLOUD-1094,Fixed,1,0,0,4379,NULL
63811,JSWCLOUD-1093,Fixed,1,0,0,2900,NULL
63812,JSWCLOUD-1091,Fixed,60,0,0,1,NULL
63814,JSWCLOUD-1087,Fixed,120,0,0,9433,NULL
63817,JSWCLOUD-1064,Fixed,120,0,0,33,NULL
63818,JSWCLOUD-1063,Fixed,180,116,116,117,NULL
63819,JSWCLOUD-1051,Fixed,916,20030,20030,25541,NULL
63820,JSWCLOUD-1050,Fixed,181,4576,4576,24069,NULL
63821,JSWCLOUD-1048,Fixed,60,12967,12967,17361,NULL
63822,JSWCLOUD-1047,Fixed,241,1405,1405,5494,NULL
63823,JSWCLOUD-1046,Fixed,151,1464,1464,5495,NULL
63824,JSWCLOUD-1045,Fixed,121,2669,2669,5495,NULL
63825,JSWCLOUD-1044,Fixed,121,1404,1404,5497,NULL
63827,JSWCLOUD-1040,Fixed,2100,9821,9821,17175,NULL
63832,JSWCLOUD-964,Fixed,120,0,0,1,NULL
63833,JSWCLOUD-963,Fixed,180,359,359,363,NULL
63836,JSWCLOUD-939,Fixed,180,0,0,0,NULL
63839,JSWCLOUD-929,Fixed,180,0,0,5711,NULL
63840,JSWCLOUD-928,Fixed,300,0,0,5720,NULL
63842,JSWCLOUD-926,Fixed,300,0,0,5722,NULL
63843,JSWCLOUD-923,Fixed,420,7357,7357,16003,NULL
63844,JSWCLOUD-920,Fixed,240,0,0,9379,NULL
63845,JSWCLOUD-919,Fixed,180,0,0,9381,NULL
63846,JSWCLOUD-918,Fixed,120,0,0,9382,NULL
63848,JSWCLOUD-910,Fixed,480,1356,1356,16585,NULL
63849,JSWCLOUD-909,Fixed,120,0,0,15228,NULL
63851,JSWCLOUD-904,Fixed,300,0,0,21816,NULL
63852,JSWCLOUD-903,Fixed,240,391,391,22208,NULL
63853,JSWCLOUD-902,Fixed,180,2481,2481,21817,NULL
63856,JSWCLOUD-897,Fixed,420,1486,1486,15076,NULL
63857,JSWCLOUD-893,Fixed,240,0,0,17173,NULL
63858,JSWCLOUD-892,Fixed,240,5662,5662,22836,NULL
63862,JSWCLOUD-859,Fixed,420,0,0,8922,NULL
63863,JSWCLOUD-858,Fixed,60,0,0,8923,NULL
