ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
38176,TIDOC-3179,Fixed,5,0,40289,40430,1
38349,TIDOC-2961,Fixed,480,71,17100,18449,7
38372,TIDOC-2936,Fixed,480,94,31953,37626,NULL
38379,TIDOC-2929,Fixed,3840,20160,73147,113816,NULL
38384,TIDOC-2921,Fixed,480,21621,49015,50375,16
38388,TIDOC-2917,Fixed,480,4192,31573,50389,8
38396,TIDOC-2907,Fixed,960,30300,70504,92019,2
38443,TIDOC-2856,Fixed,30,0,0,113847,NULL
38477,TIDOC-2808,Fixed,2400,48936,70535,219175,2
38493,TIDOC-2791,Fixed,960,0,0,39052,1
38495,TIDOC-2789,Fixed,480,0,0,39023,1
38505,TIDOC-2779,Fixed,480,224118,224118,229895,14
38554,TIDOC-2726,Fixed,15,0,0,1,1
38577,TIDOC-2701,Fixed,960,1679,1679,1685,6
38622,TIDOC-2652,Fixed,270,1560,1560,7267,7
38627,TIDOC-2647,Fixed,15,0,0,47802,1
38633,TIDOC-2641,Fixed,60,19863,19863,30009,3
38635,TIDOC-2639,Fixed,60,19866,19866,30010,3
38638,TIDOC-2636,Fixed,60,19871,19871,30010,3
38642,TIDOC-2632,Fixed,60,58,58,1550,1
38643,TIDOC-2631,Fixed,45,0,0,0,1
38645,TIDOC-2629,Fixed,15,1,1,785,1
38647,TIDOC-2627,Fixed,15,0,0,15022,1
38649,TIDOC-2625,Fixed,240,8354,8354,8355,8
38650,TIDOC-2624,Fixed,30,16,16,8699,2
38651,TIDOC-2623,Fixed,15,1393,1393,10079,2
38657,TIDOC-2616,Fixed,15,6935,6935,6942,1
38658,TIDOC-2615,Fixed,120,6934,6934,6942,2
38659,TIDOC-2614,Fixed,15,30187,30187,30321,1
38661,TIDOC-2612,Fixed,60,53,53,66045,1
38664,TIDOC-2609,Fixed,15,1,1,117127,1
38666,TIDOC-2607,Fixed,300,1764,1764,5808,3
38669,TIDOC-2604,Fixed,5,0,0,286,1
38670,TIDOC-2603,Fixed,5,0,0,285,1
38671,TIDOC-2602,Fixed,5,1,1,284,1
38672,TIDOC-2601,Fixed,5,1,1,283,1
38673,TIDOC-2600,Fixed,120,8656,8656,8936,3
38674,TIDOC-2599,Fixed,5,1,1,270,1
38675,TIDOC-2598,Fixed,5,0,0,268,1
38676,TIDOC-2597,Fixed,5,0,0,266,1
38677,TIDOC-2596,Fixed,5,1,1,265,1
38679,TIDOC-2594,Fixed,5,0,0,261,1
38680,TIDOC-2593,Fixed,5,1,1,261,1
38681,TIDOC-2592,Fixed,10,0,0,225,1
38687,TIDOC-2586,Fixed,15,2,2,212,1
38691,TIDOC-2582,Fixed,45,0,0,0,1
38694,TIDOC-2578,Fixed,675,14716,14716,56246,8
38695,TIDOC-2577,Fixed,240,10371,10371,20128,5
38696,TIDOC-2576,Fixed,90,30,30,34,1
38697,TIDOC-2575,Fixed,90,74,74,963,1
38698,TIDOC-2574,Fixed,120,0,0,61,2
38700,TIDOC-2571,Fixed,60,4,4,7487,1
38701,TIDOC-2570,Fixed,15,0,0,8632,1
38702,TIDOC-2569,Fixed,90,8404,8404,8651,3
38704,TIDOC-2566,Fixed,120,74,74,7039,1
38705,TIDOC-2565,Fixed,120,76,76,7040,1
38706,TIDOC-2564,Fixed,150,1831,1831,5996,1
38707,TIDOC-2563,Fixed,60,0,0,2332515,1
38710,TIDOC-2559,Fixed,60,1323,1323,29369,8
38717,TIDOC-2552,Fixed,15,0,0,34316,1
38720,TIDOC-2547,Fixed,30,1,1,80660,1
38728,TIDOC-2536,Fixed,60,96697,96697,97775,1
38738,TIDOC-2524,Fixed,15,2,2,166258,1
38753,TIDOC-2506,Fixed,30,2,2,239730,1
38758,TIDOC-2501,Fixed,1920,14351,56036,738647,NULL
38765,TIDOC-2494,Fixed,30,18,18,285349,1
38772,TIDOC-2487,Fixed,60,2,221749,254106,2
38780,TIDOC-2479,Fixed,60,0,0,253929,1
38800,TIDOC-2457,Fixed,15,0,0,304742,1
38809,TIDOC-2447,Fixed,15,0,0,274461,1
38817,TIDOC-2439,Fixed,120,260761,260761,677776,NULL
38819,TIDOC-2437,Fixed,5,5,5,1574,1
38855,TIDOC-2393,Fixed,30,415863,415863,458054,1
38858,TIDOC-2390,Fixed,30,20,20,441154,1
38862,TIDOC-2384,Fixed,30,1,1,418906,1
38866,TIDOC-2378,Fixed,60,24,24,900028,1
38868,TIDOC-2375,Done,120,11612,11612,341073,2
38869,TIDOC-2374,Fixed,40,14368,14368,21838,1
39044,TIDOC-2190,Fixed,240,1399,1399,1443058,3
39057,TIDOC-2169,Fixed,15,0,0,727272,1
39121,TIDOC-2094,Done,360,0,0,1581481,13
39140,TIDOC-2074,Fixed,60,0,0,105477,NULL
39175,TIDOC-2036,Fixed,15,0,0,933366,1
39186,TIDOC-2025,Fixed,360,154,154,1652033,2
39225,TIDOC-1983,Done,240,0,0,1681361,2
39239,TIDOC-1968,Fixed,480,9020,11624,102587,5
39247,TIDOC-1959,Fixed,45,57,57,996141,1
39286,TIDOC-1917,Done,240,0,0,1704975,3
39393,TIDOC-1804,Fixed,15,0,812,39605,8
39419,TIDOC-1777,Fixed,240,35,3101,10045,8
39424,TIDOC-1772,Fixed,5,84,89,1042,NULL
39478,TIDOC-1714,Fixed,1440,36157,36518,60932,13
39504,TIDOC-1687,Fixed,480,0,0,1886102,6
39506,TIDOC-1685,Fixed,10,14,1031,1038,NULL
39508,TIDOC-1683,Fixed,90,1098,1098,1331,NULL
39510,TIDOC-1681,Fixed,5,0,0,500,NULL
39520,TIDOC-1671,Fixed,720,90415,90415,91277,13
39521,TIDOC-1670,Fixed,10,0,0,8,NULL
39524,TIDOC-1667,Fixed,60,1030,47606,94589,8
39527,TIDOC-1664,Fixed,240,92240,92240,105418,NULL
39530,TIDOC-1660,Fixed,60,4087,4087,10449,NULL
39532,TIDOC-1658,Fixed,10,0,0,2449,NULL
39535,TIDOC-1654,Fixed,480,0,0,109639,NULL
39536,TIDOC-1653,Fixed,30,0,0,179364,NULL
