ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
132557,BAM-3912,Fixed,300,181,2555,2974,3
132560,BAM-3909,Fixed,240,4257,14604,14604,NULL
132571,BAM-3895,Fixed,720,3918,19771,20072,NULL
132582,BAM-3881,Fixed,120,1,25555,28944,NULL
132587,BAM-3876,Fixed,480,0,0,16213,NULL
132595,BAM-3868,Fixed,120,2533,2533,13994,NULL
132596,BAM-3867,Fixed,60,1405,11405,21387,NULL
132597,BAM-3866,Fixed,360,4252,20309,30051,NULL
132598,BAM-3865,Fixed,300,9023,27614,30052,NULL
132601,BAM-3862,Fixed,210,7982,7982,9992,NULL
132633,BAM-3828,Fixed,240,0,14240,48716,NULL
132634,BAM-3827,Fixed,180,337,14150,48716,NULL
132635,BAM-3826,Fixed,240,15022,25375,48716,NULL
132637,BAM-3824,Fixed,120,10721,44309,48755,NULL
132638,BAM-3823,Fixed,420,11561,27614,48790,NULL
132639,BAM-3822,Fixed,720,17534,28951,40128,NULL
132640,BAM-3821,Fixed,420,9984,9984,11112,NULL
132641,BAM-3820,Fixed,180,1618,27620,28750,NULL
132687,BAM-3770,Fixed,120,5,1321,10535,NULL
132691,BAM-3766,Fixed,180,0,0,99622,1
132692,BAM-3765,Fixed,240,1599,11406,11406,NULL
132693,BAM-3764,Fixed,120,299,299,8726,NULL
132694,BAM-3763,Fixed,120,1616,11411,11415,NULL
132695,BAM-3762,Fixed,180,1403,1403,12963,NULL
132696,BAM-3761,Fixed,300,1489,8669,18603,NULL
132697,BAM-3760,Fixed,60,8,8,8737,NULL
132698,BAM-3759,Fixed,240,9182,9184,42000,NULL
132703,BAM-3754,Fixed,660,3029,3029,14186,NULL
132704,BAM-3752,Fixed,30,539,539,31753,NULL
132705,BAM-3751,Fixed,360,17636,17636,48850,NULL
132706,BAM-3750,Fixed,30,540,540,31754,NULL
132707,BAM-3749,Fixed,660,1623,48824,68926,NULL
132711,BAM-3744,Fixed,480,8586,34835,68929,NULL
132712,BAM-3743,Fixed,540,8583,21069,55163,NULL
132716,BAM-3739,Fixed,240,5523,5523,20005,NULL
132717,BAM-3738,Fixed,960,6922,6922,20007,NULL
132718,BAM-3737,Fixed,360,7015,92448,105535,3
132720,BAM-3735,Fixed,180,0,0,18501,2
132721,BAM-3734,Fixed,240,0,0,18500,NULL
132723,BAM-3732,Fixed,300,189,18535,20121,NULL
132724,BAM-3731,Fixed,270,0,0,3454,2
132726,BAM-3729,Fixed,180,0,0,1860,NULL
132728,BAM-3727,Fixed,60,6047,6047,18540,NULL
132729,BAM-3726,Fixed,240,1,1,18542,NULL
