ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
8493,NEXUS-6569,Fixed,360,1985,6735,21292,1
10856,NEXUS-3859,Fixed,1,1627,1739,5680,NULL
11383,NEXUS-3309,Fixed,120,0,0,888,NULL
11390,NEXUS-3302,Fixed,120,87,87,123,NULL
11407,NEXUS-3284,Fixed,60,38,38,38,NULL
11411,NEXUS-3280,Fixed,360,0,0,16,NULL
11431,NEXUS-3259,Fixed,80,0,0,65673,NULL
11456,NEXUS-3233,Fixed,18,0,1420,49601,NULL
11457,NEXUS-3232,Fixed,114,252,252,1295,NULL
11458,NEXUS-3231,Fixed,15,0,0,11484,NULL
11460,NEXUS-3229,Fixed,60,185,185,507,NULL
11465,NEXUS-3223,Fixed,30,1840,1840,54781,NULL
11466,NEXUS-3222,Fixed,13,5,5,2316,NULL
11469,NEXUS-3219,Fixed,129,0,0,1074,NULL
11470,NEXUS-3218,Fixed,235,342,361,1214,NULL
11472,NEXUS-3216,Fixed,50,40,49,54,NULL
11485,NEXUS-3203,Fixed,20,0,0,1358,NULL
11488,NEXUS-3200,Fixed,59,254,254,313,NULL
11489,NEXUS-3199,Done,120,0,0,5068853,NULL
11491,NEXUS-3197,Fixed,123,0,0,65126,NULL
11497,NEXUS-3191,Fixed,178,0,0,0,NULL
11500,NEXUS-3188,Fixed,299,0,0,1490,NULL
11504,NEXUS-3184,Fixed,740,1234,1234,4850,NULL
11509,NEXUS-3177,Fixed,362,280,335,570,NULL
11511,NEXUS-3175,Fixed,540,3043,3043,5153,NULL
11515,NEXUS-3171,Fixed,47,987,987,1257,NULL
11516,NEXUS-3170,Fixed,25,11,150,7761,NULL
11517,NEXUS-3169,Fixed,20,0,0,3130,NULL
11518,NEXUS-3168,Fixed,102,1749,1749,2327,NULL
11519,NEXUS-3167,Fixed,43,32,48,8392,NULL
11524,NEXUS-3162,Fixed,132,0,39,4011,NULL
11525,NEXUS-3160,Fixed,100,45,45,46,NULL
11528,NEXUS-3157,Fixed,56,0,0,11421,NULL
