ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
41065,CLOV-1967,Fixed,29,3117,7258,7258,NULL
41071,CLOV-1956,Fixed,39,2880,10137,159589,2
41072,CLOV-1953,Fixed,17,1780,1780,13571,5
41073,CLOV-1951,Fixed,22,90659,106353,158273,3
41080,CLOV-1922,Fixed,104,1405,15927,15927,NULL
41093,CLOV-1906,Fixed,17,164,5841,7101,NULL
41094,CLOV-1905,Fixed,7,3998,3998,5639,NULL
41100,CLOV-1899,Fixed,38,1049,1049,1049,NULL
41106,CLOV-1892,Fixed,49,5796,21842,41918,3
41108,CLOV-1890,Fixed,43,10179,10179,17339,2
41110,CLOV-1888,Fixed,31,10283,10283,17379,4
41111,CLOV-1887,Fixed,39,17320,17320,17382,4
41114,CLOV-1884,Fixed,2,9,519,522,1
41143,CLOV-1827,Fixed,5,1765,9795,9824,1
41171,CLOV-1775,Fixed,10,1990,10029,148149,3
41184,CLOV-1752,Fixed,35,171728,172956,173000,2
41681,CLOV-1068,Fixed,5,17411,17411,20090,NULL
41811,CLOV-908,Fixed,120,0,0,147,NULL
41817,CLOV-902,Fixed,240,0,0,0,NULL
41827,CLOV-892,Fixed,480,0,0,1497,NULL
41829,CLOV-890,Fixed,840,2846,2846,51694,NULL
41865,CLOV-852,Fixed,636,1522,1522,17435,NULL
41896,CLOV-813,Fixed,240,0,0,38631,NULL
41898,CLOV-811,Fixed,90,14,5461,5498,NULL
41901,CLOV-808,Fixed,480,0,0,107976,NULL
41903,CLOV-806,Fixed,300,141235,141235,141255,NULL
41905,CLOV-804,Fixed,30,0,0,25,NULL
41906,CLOV-803,Fixed,60,32,32,38,NULL
41914,CLOV-793,Fixed,90,5,5,1128,NULL
41915,CLOV-789,Fixed,120,4,8830,8832,NULL
41917,CLOV-787,Fixed,360,0,0,0,NULL
41919,CLOV-785,Fixed,120,2,2,541884,NULL
41924,CLOV-780,Fixed,240,156935,156935,177378,NULL
41925,CLOV-779,Fixed,600,0,0,16973,NULL
41926,CLOV-778,Fixed,600,0,0,37436,NULL
41927,CLOV-777,Fixed,240,0,0,187693,NULL
41928,CLOV-776,Fixed,3420,184212,184212,194099,NULL
41930,CLOV-774,Fixed,600,0,0,19236,NULL
41934,CLOV-770,Fixed,180,1,1,1350621,NULL
41942,CLOV-762,Fixed,1560,0,0,233603,NULL
41946,CLOV-758,Fixed,1500,0,0,26127,NULL
41955,CLOV-748,Fixed,480,108,10929,10960,NULL
41957,CLOV-746,Fixed,960,0,0,14174,NULL
41965,CLOV-737,Fixed,120,1,32441,34688,NULL
41972,CLOV-729,Fixed,300,0,568,41149,NULL
41973,CLOV-728,Fixed,60,2328,2328,3380,NULL
41974,CLOV-727,Fixed,240,2522,2522,2523,NULL
41975,CLOV-726,Fixed,17,17,45950,45952,NULL
41976,CLOV-725,Fixed,46,48,48,50,NULL
41980,CLOV-720,Fixed,30,1,1,3,NULL
41990,CLOV-708,Fixed,90,131,4593,10718,NULL
41992,CLOV-706,Fixed,180,1913,7690,12061,NULL
41995,CLOV-702,Fixed,240,1162,1162,3989,NULL
42000,CLOV-694,Fixed,60,103,103,2673,NULL
42001,CLOV-693,Fixed,540,2972,2972,12816,NULL
42007,CLOV-687,Fixed,120,0,0,1388,NULL
42008,CLOV-686,Fixed,60,0,0,1448,NULL
42018,CLOV-674,Fixed,82,37,37,31913,NULL
42024,CLOV-666,Fixed,1380,11404,11404,31524,NULL
42030,CLOV-659,Fixed,300,0,0,5973,NULL
42031,CLOV-658,Fixed,570,0,15945,18989,NULL
42033,CLOV-656,Fixed,4801,39904,39904,60226,NULL
42034,CLOV-655,Fixed,1500,20296,60207,60233,NULL
42035,CLOV-654,Fixed,1260,20305,20305,20328,NULL
42039,CLOV-643,Fixed,240,7471,7471,59402,NULL
42040,CLOV-642,Fixed,60,0,0,11003,NULL
42041,CLOV-641,Fixed,600,0,0,31810,NULL
42042,CLOV-640,Fixed,360,0,0,17378,NULL
42044,CLOV-638,Fixed,30,0,0,76045,NULL
42045,CLOV-637,Fixed,1140,46192,46192,76102,NULL
42049,CLOV-628,Fixed,30,0,8887,8902,NULL
42050,CLOV-627,Fixed,1920,116756,116756,273425,NULL
42053,CLOV-624,Fixed,6,1,1,71852,NULL
42062,CLOV-613,Fixed,90,7539,17223,17240,NULL
42063,CLOV-607,Fixed,1320,10010,22510,41116,NULL
42064,CLOV-606,Fixed,180,219,18546,41118,NULL
42066,CLOV-604,Fixed,1050,20065,44362,567616,NULL
42067,CLOV-603,Fixed,300,1432,11258,21350,NULL
42070,CLOV-600,Fixed,361,449,8790,41805,NULL
42080,CLOV-583,Fixed,960,7566,21713,436918,NULL
42084,CLOV-578,Fixed,420,11522,11522,264828,NULL
42093,CLOV-568,Fixed,240,0,16523,19087,NULL
42095,CLOV-566,Fixed,2940,89282,89282,102581,NULL
42097,CLOV-564,Fixed,240,2874,2874,36057,NULL
42099,CLOV-562,Fixed,1440,0,3698,8788,NULL
42101,CLOV-560,Fixed,600,0,0,50654,NULL
42104,CLOV-557,Fixed,300,0,0,50707,NULL
42112,CLOV-549,Fixed,960,0,1183,12989,NULL
42113,CLOV-548,Fixed,2280,46583,46583,91212,NULL
42114,CLOV-547,Fixed,3060,12199,12199,50862,NULL
42115,CLOV-546,Fixed,240,0,0,44585,NULL
42118,CLOV-542,Fixed,480,0,23117,23144,NULL
42120,CLOV-540,Fixed,2400,0,25990,26016,NULL
42121,CLOV-538,Fixed,1920,2831,13953,122127,NULL
42122,CLOV-535,Fixed,480,14797,14797,14800,NULL
42123,CLOV-534,Fixed,240,1167,36463,36465,NULL
42133,CLOV-518,Fixed,600,0,8983,89117,NULL
42140,CLOV-511,Fixed,180,0,0,266493,NULL
42150,CLOV-498,Fixed,900,30910,30910,180719,NULL
42170,CLOV-477,Fixed,4800,227,15387,29055,NULL
42171,CLOV-476,Fixed,480,4306,4306,54256,NULL
42184,CLOV-462,Fixed,780,4559,8874,144035,NULL
42192,CLOV-454,Fixed,61,259569,260743,315459,NULL
42195,CLOV-451,Fixed,1440,0,32280,32290,NULL
42245,CLOV-392,Fixed,60,69,111286,117723,NULL
42408,CLOV-195,Fixed,960,25453,25453,659278,NULL
