ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
221117,DM-27269,Done,120,0,62,142,0.2
221136,DM-27249,Done,480,1602,1602,1602,1
221166,DM-27219,Done,60,0,1363,1443,0.3
221187,DM-27198,Done,480,1396,1396,5297,1
221189,DM-27196,Done,960,132,7531,7531,1
221191,DM-27194,Done,180,3109,5172,5768,1
221229,DM-27156,Done,960,1672,11899,13283,1
221230,DM-27155,Done,480,0,0,11482,1
221271,DM-27114,Done,1920,10748,14430,14701,4
221277,DM-27108,Done,180,283,376,377,1
221306,DM-27079,Done,240,404,2000,3007,1
221326,DM-27059,Done,660,0,1151,1523,2
221405,DM-26977,Done,960,3,2300,11259,2
221422,DM-26960,Done,60,31,4861,20401,1
221423,DM-26959,Done,60,123,4985,20402,2
221541,DM-26840,Done,120,2,444,522,1
221548,DM-26833,Done,480,197,197,198,2
221671,DM-26708,Done,120,89,176,177,1
221675,DM-26704,Done,3360,15655,20496,20496,4
221714,DM-26665,Done,480,13370,13423,40555,1
221725,DM-26653,Done,480,1629,1913,20387,1
221729,DM-26649,Done,480,1344,50574,60545,2
221730,DM-26648,Done,960,1961,1961,3205,2
221747,DM-26631,Done,960,1664,1829,11426,2
221750,DM-26628,Done,720,0,606,3836,2
221752,DM-26626,Done,960,1670,4120,4121,2
221861,DM-26514,Done,2220,0,6156,15936,4
221893,DM-26482,Done,480,11,1368,1368,0
221996,DM-26374,Done,960,1804,1974,54765,2
222047,DM-26323,Done,960,6,6,6,2
222074,DM-26296,Done,1860,10595,11388,11393,4
222084,DM-26286,Done,1500,4392,4601,24764,3
222115,DM-26255,Done,480,84,108,33209,2
222116,DM-26254,Done,1920,1425,10951,31229,3
222117,DM-26253,Done,240,3,210,30368,1
222118,DM-26252,Done,240,25,236,30368,1
222119,DM-26251,Done,480,232,252,27389,2
222120,DM-26250,Done,480,161,241,23049,2
222137,DM-26233,Done,1440,9986,14198,18277,1
222138,DM-26232,Done,960,22,18048,22068,1
222145,DM-26225,Done,480,323,332,332,1
222243,DM-26127,Done,60,0,3025,3888,NULL
222245,DM-26125,Done,180,0,3220,5182,NULL
222248,DM-26122,Done,60,2,84,9572,0
222273,DM-26097,Done,480,0,10311,27271,1
222281,DM-26089,Done,480,0,105,106,1
222315,DM-26055,Done,960,2976,13245,13245,2
222355,DM-26013,Done,480,0,1742,2887,1
222371,DM-25997,Done,840,1,5571,14115,4
222476,DM-25892,Done,480,25,5658,5659,1
222493,DM-25871,Done,10,0,135,137,0
222579,DM-25785,Done,120,127,8914,160294,NULL
222590,DM-25774,Done,1200,8689,12987,60934,3
222600,DM-25764,Done,480,10,159,1121,1
222602,DM-25762,Done,960,67,294,8965,2
222606,DM-25758,Done,480,375,7167,7167,1
222842,DM-25519,Done,210,152,197,197,1
222869,DM-25492,Done,720,1450,1728,19645,2
222870,DM-25491,Done,960,5326,34577,64844,2
222896,DM-25465,Done,480,1,1,16468,1
222942,DM-25419,Done,1440,1823,4903,4903,2
222986,DM-25374,Done,720,9942,10177,10195,4
223003,DM-25357,Done,480,1127,2833,2834,1
223009,DM-25351,Done,10,4,18,19,0.5
223051,DM-25308,Done,480,5,4760,6286,2
223064,DM-25295,Done,1440,1347,1693,57374,3
223108,DM-25250,Done,960,1382,3129,9948,2
223128,DM-25230,Done,600,6825,11574,12794,4
223141,DM-25217,Done,480,0,0,3131,2
223156,DM-25202,Done,120,14,146,2900,1
223169,DM-25189,Done,3360,10335,18761,191252,2
223170,DM-25188,Done,840,10187,10666,10666,1
223189,DM-25169,Done,180,45319,67867,67867,3
223227,DM-25130,Done,960,5696,8698,10183,2
223237,DM-25117,Done,1920,8751,8751,8751,2
223280,DM-25074,Done,480,9764,12642,51222,2
223290,DM-25064,Done,780,2853,11692,12315,3
223300,DM-25054,Done,1440,4030,4030,4031,1
223370,DM-24982,Done,480,0,0,0,1
223418,DM-24934,Done,480,9039,10258,27412,1
223424,DM-24928,Done,1440,1587,4417,22966,1
223482,DM-24838,Done,900,3047,14727,104928,3
223489,DM-24831,Done,480,0,0,11384,1
223515,DM-24805,Done,540,764,1675,5548,1
223530,DM-24790,Done,480,3,8692,27279,2
223544,DM-24776,Done,480,230,230,18688,2
223550,DM-24770,Done,660,1944,5910,6731,3
223555,DM-24765,Done,1920,8879,9080,17452,2
223710,DM-24610,Done,2520,20528,30941,42282,3
223746,DM-24574,Done,2400,10321,18822,25901,3
223748,DM-24572,Done,960,4,4,4,2
223800,DM-24520,Done,480,3709,116515,116516,1
223851,DM-24469,Done,240,0,0,1865,1
223852,DM-24468,Done,960,254,1885,1958,3
223914,DM-24406,Done,4020,95918,96738,103038,3
223933,DM-24387,Done,480,38,290,291,1
224276,DM-24042,Done,480,1440,1491,5587,2
224277,DM-24041,Done,960,4354,8653,14249,2
224278,DM-24040,Done,960,1309,8769,118276,2
224279,DM-24039,Done,480,95336,95336,109517,1
224280,DM-24038,Done,240,0,0,14185,2
224321,DM-23997,Done,60,12,12,12,1
224325,DM-23993,Done,60,20,20,20,1
224364,DM-23954,Done,960,153420,157548,165279,5
224385,DM-23933,Done,960,5903,7040,7040,3
224474,DM-23844,Done,240,160,160,160,1
224476,DM-23842,Done,960,11625,11692,11692,2
224646,DM-23672,Done,1800,28,10252,10252,2
224782,DM-23535,Done,1920,28669,28669,33244,2
224783,DM-23534,Done,1920,3073,14670,16174,2
224784,DM-23533,Done,480,230,2967,2991,1
225069,DM-23246,Done,480,226,1405,97719,3
225121,DM-23194,Done,1920,7259,8952,11962,4
225133,DM-23182,Done,960,241,241,241,2
225160,DM-23155,Done,480,1298,1298,2652,1
225219,DM-23096,Done,1920,45942,45942,45942,4
225257,DM-23058,Done,960,18566,18651,18651,2
226040,DM-22254,Done,540,44314,44314,44316,2
226134,DM-22159,Done,480,47,1184,120479,NULL
226163,DM-22130,Done,1,6,18475,25773,2
226276,DM-22016,Done,960,2695,12674,12675,1
226370,DM-21922,Done,1530,357712,362099,362100,16
226480,DM-21812,Done,960,8852,8950,9125,2
226496,DM-21796,Done,480,13024,13024,13024,1
226502,DM-21790,Done,1440,7259,12892,14331,5
226511,DM-21780,Done,240,14309,15653,15708,1
226535,DM-21756,Done,960,12897,18760,20150,2
226548,DM-21743,Done,480,1628,5872,24124,1
226549,DM-21742,Done,960,7725,24495,34444,2
226550,DM-21741,Done,720,2676,22755,27030,1
226559,DM-21732,Done,960,11545,11567,15910,3
226597,DM-21694,Done,240,8713,22922,23249,8
226764,DM-21489,Done,3360,22671,28256,38608,4
227017,DM-21236,Done,1920,11985,13290,61977,4
227219,DM-21034,Done,600,229,30384,71449,1
228394,DM-19849,Done,600,7030,7076,198701,1
228463,DM-19780,Done,120,0,172739,172740,1
228698,DM-19545,Done,240,132298,134880,295190,6
228700,DM-19543,Done,360,9929,33376,83407,2
229031,DM-19208,Done,180,315,42283,141632,1
230357,DM-17853,Done,7,0,0,4191,NULL
230362,DM-17848,Done,60,0,0,69539,NULL
234274,DM-13864,Done,540,30650,30650,59487,2
234299,DM-13838,Done,930,66709,70858,73903,4
234911,DM-13225,Done,540,6183,39400,157273,2
237043,DM-11081,Done,60,0,0,9839,5
237044,DM-11080,Done,1200,0,0,9842,7
237065,DM-11059,Done,60,0,0,94995,3
237070,DM-11054,Done,1200,11155,11155,11158,5
238749,DM-9336,Done,240,50784,1485293,1485351,2
239407,DM-8660,Done,120,28886,38771,71945,8
241123,DM-6933,Done,300,28,44330,44331,4
242196,DM-5830,Done,1590,988099,989132,1013850,3
242662,DM-5350,Done,180,23848,23848,23848,2
242843,DM-5166,Done,240,42893,42893,42894,6
243024,DM-4975,Done,5,0,0,212,NULL
243253,DM-4744,Done,1740,0,18685,38798,4.25
243324,DM-4672,Done,120,113580,113580,113580,0.75
243325,DM-4671,Done,600,12919,12919,43108,5.5
243551,DM-4442,Done,300,135972,135972,135972,1.25
243670,DM-4317,Done,360,13161,13161,39140,4
243672,DM-4315,Done,750,48969,48969,49133,2
243674,DM-4313,Done,600,22952,22952,49121,3.5
244201,DM-3777,Done,6,0,0,92382,12
244211,DM-3767,Done,15,0,0,56172,NULL
244547,DM-3414,Done,90,0,1849990,1850092,1
244549,DM-3412,Done,180,1695993,1695993,1696126,2
244607,DM-3354,Done,480,29138,29138,29140,2
246512,DM-1358,Done,480,8753,9836,17307,2
246557,DM-1310,Done,180,13750,32094,32153,1
