ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
276729,TDQ-18844,Fixed,720,204,1474,1513,NULL
276735,TDQ-18836,Fixed,240,225,276,1519,NULL
276738,TDQ-18832,Done,480,0,0,8792,NULL
276742,TDQ-18824,Fixed,300,27,10095,11175,NULL
276761,TDQ-18781,Fixed,540,3053,4510,8624,NULL
276772,TDQ-18761,Fixed,120,0,0,51950,NULL
276781,TDQ-18750,Fixed,240,5,5,22994,NULL
276782,TDQ-18748,Fixed,2880,1788,28465,33067,NULL
276783,TDQ-18745,Fixed,480,5816,5817,5847,NULL
276787,TDQ-18740,Fixed,480,9989,24107,31581,NULL
276789,TDQ-18736,Fixed,2640,8596,22960,24401,NULL
276793,TDQ-18730,Fixed,300,8191,27385,49027,NULL
276805,TDQ-18709,Fixed,960,163,12581,44713,NULL
276819,TDQ-18691,Done,2880,0,0,35507,NULL
276830,TDQ-18679,Fixed,420,5257,7271,29387,2
276832,TDQ-18673,Fixed,1680,5687,18321,18382,NULL
276834,TDQ-18667,Fixed,780,214,3469,34894,2
276835,TDQ-18666,Fixed,1800,21274,38618,72013,NULL
276837,TDQ-18663,Fixed,1560,384,4231,52669,3
276865,TDQ-18623,Fixed,120,1229,10159,66092,NULL
276866,TDQ-18622,Fixed,960,0,6872,67817,NULL
276867,TDQ-18621,Fixed,2100,5721,49920,51143,NULL
276869,TDQ-18613,Fixed,2160,8865,32988,74252,NULL
276876,TDQ-18598,Fixed,4800,0,0,28525,NULL
276904,TDQ-18523,Fixed,600,1526,20261,159799,NULL
276905,TDQ-18518,Fixed,810,326,2873,114938,NULL
276908,TDQ-18513,Fixed,240,0,11445,12660,NULL
276910,TDQ-18508,Fixed,240,315,1841,80803,NULL
276914,TDQ-18503,Fixed,2940,34220,36835,126257,NULL
276917,TDQ-18500,Fixed,1050,4746,24818,44583,3
276926,TDQ-18470,Fixed,3120,9901,22572,29986,8
276927,TDQ-18469,Fixed,480,0,0,2677,NULL
276928,TDQ-18462,Fixed,480,3934,28636,45733,3
276940,TDQ-18440,Fixed,180,0,0,19947,NULL
276945,TDQ-18427,Fixed,1920,41455,41455,58863,NULL
276957,TDQ-18374,Fixed,600,10036,13974,130726,NULL
276962,TDQ-18369,Fixed,4320,1831,1868,46432,NULL
276969,TDQ-18359,Fixed,960,20,21,24558,NULL
276974,TDQ-18347,Fixed,6240,38528,72233,80747,NULL
276976,TDQ-18322,Fixed,1080,1120,51713,51718,NULL
276982,TDQ-18302,Fixed,720,294,1621,8648,NULL
276983,TDQ-18301,Fixed,480,4490,5937,8649,NULL
276988,TDQ-18296,Fixed,4140,2666,2666,12758,NULL
276990,TDQ-18291,Fixed,240,5943,5943,16218,NULL
276992,TDQ-18286,Fixed,1560,4664,6139,10431,NULL
276997,TDQ-18280,Fixed,1080,4124,4124,10985,NULL
277000,TDQ-18275,Fixed,240,0,1017,12540,NULL
277007,TDQ-18263,Fixed,240,2507,2596,31419,NULL
277050,TDQ-18212,Fixed,240,15,93238,153756,NULL
277052,TDQ-18205,Fixed,180,1378,1516,15759,NULL
277053,TDQ-18203,Fixed,1440,10535,12999,18055,NULL
277058,TDQ-18195,Fixed,1260,18207,18207,40027,NULL
277061,TDQ-18192,Fixed,360,0,0,40035,NULL
277062,TDQ-18191,Fixed,1680,21545,21545,40027,NULL
277071,TDQ-18173,Fixed,18960,50723,112623,184372,13
277076,TDQ-18164,Fixed,480,0,4449,247851,NULL
277077,TDQ-18163,Done,480,1,1,18757,NULL
277088,TDQ-18149,Fixed,330,91,7138,8191,NULL
277093,TDQ-18141,Fixed,180,0,4549,4562,NULL
277094,TDQ-18140,Fixed,210,6136,10022,233182,NULL
277095,TDQ-18139,Fixed,480,1046,11608,37658,NULL
277097,TDQ-18137,Fixed,6000,36191,36191,43413,NULL
277098,TDQ-18135,Fixed,2430,10294,37511,62716,NULL
277100,TDQ-18133,Done,300,0,0,5704,NULL
277101,TDQ-18132,Fixed,960,0,0,156347,NULL
277104,TDQ-18127,Fixed,960,5673,5673,6606,NULL
277112,TDQ-18118,Fixed,660,8674,13253,16106,NULL
277113,TDQ-18110,Fixed,450,0,0,34251,NULL
277115,TDQ-18108,Fixed,960,21049,21049,34233,NULL
277117,TDQ-18106,Fixed,1080,14158,14158,34336,NULL
277119,TDQ-18104,Fixed,2400,18829,18829,34331,NULL
277122,TDQ-18099,Fixed,2040,8884,11624,60117,5
277125,TDQ-18091,Fixed,840,4437,37475,135369,NULL
277134,TDQ-18076,Fixed,120,2820,33141,39690,NULL
277137,TDQ-18071,Fixed,4800,5739,12210,34523,NULL
277138,TDQ-18070,Fixed,390,87,1242,1322,NULL
277144,TDQ-18061,Fixed,210,0,241,322,NULL
277147,TDQ-18058,Fixed,180,398,6142,6148,NULL
277152,TDQ-18052,Fixed,420,8847,8847,105206,NULL
277153,TDQ-18051,Fixed,420,262,262,92428,NULL
277154,TDQ-18049,Fixed,3720,9882,57035,152384,NULL
277166,TDQ-18031,Fixed,660,4046,4634,5540,NULL
277167,TDQ-18026,Fixed,660,1706,8854,9978,NULL
277168,TDQ-18023,Fixed,690,1579,6037,8552,NULL
277170,TDQ-18020,Fixed,240,2865,41525,73403,NULL
277171,TDQ-18019,Fixed,900,1888,1888,30747,NULL
277180,TDQ-17998,Fixed,60,0,5086,5630,NULL
277185,TDQ-17990,Fixed,60,20797,20797,39450,NULL
277186,TDQ-17989,Fixed,960,4244,4244,37781,NULL
277188,TDQ-17987,Done,660,0,1,41701,NULL
277191,TDQ-17983,Fixed,900,2585,7136,41576,3
277194,TDQ-17979,Fixed,540,379,379,51968,NULL
277195,TDQ-17978,Fixed,5520,40101,40101,60472,NULL
277197,TDQ-17976,Fixed,1020,17003,17003,60477,NULL
277198,TDQ-17975,Fixed,3060,2661,2661,54636,NULL
277199,TDQ-17974,Fixed,2160,8615,8615,60466,NULL
277201,TDQ-17965,Fixed,1380,3202,13200,34798,2
277202,TDQ-17964,Fixed,1830,2890,4289,38814,3
277203,TDQ-17963,Fixed,1560,5865,12652,47192,3
277206,TDQ-17959,Fixed,300,0,0,4555,NULL
277207,TDQ-17958,Fixed,300,1,1,4542,NULL
277208,TDQ-17954,Fixed,1500,509,40408,140949,NULL
277222,TDQ-17930,Fixed,60,28,15645,40272,1
277223,TDQ-17929,Fixed,2100,2640,32452,41662,3
277226,TDQ-17925,Fixed,360,9088,29834,50039,NULL
277228,TDQ-17920,Fixed,30,5,4325,4325,NULL
277237,TDQ-17906,Fixed,300,0,0,34764,NULL
277239,TDQ-17904,Fixed,600,0,0,34501,NULL
277241,TDQ-17902,Fixed,480,0,0,34501,NULL
277245,TDQ-17897,Fixed,240,0,1086,1344,NULL
277253,TDQ-17854,Fixed,60,1674,1675,83241,NULL
277254,TDQ-17853,Fixed,30,0,0,35711,NULL
277260,TDQ-17842,Fixed,180,0,0,10332,NULL
277261,TDQ-17833,Fixed,1140,5336,9363,84830,2
277263,TDQ-17831,Fixed,3000,29902,45825,231832,2
277264,TDQ-17829,Fixed,3090,11042,43192,139189,NULL
277265,TDQ-17827,Fixed,780,52,3045,79422,2
277266,TDQ-17826,Fixed,720,11383,15497,83589,NULL
277267,TDQ-17822,Fixed,570,100,12802,84096,1
277276,TDQ-17784,Fixed,1800,2723,51162,261671,NULL
277277,TDQ-17783,Fixed,3780,7169,17200,118069,3
277286,TDQ-17770,Fixed,240,0,2543,41689,NULL
277291,TDQ-17757,Done,3360,49102,49441,73286,NULL
277294,TDQ-17750,Fixed,180,0,0,31661,NULL
277295,TDQ-17749,Fixed,300,0,0,35960,NULL
277296,TDQ-17748,Done,360,30,30,40266,2
277298,TDQ-17743,Fixed,2160,9148,27500,171315,8
277302,TDQ-17736,Fixed,480,0,0,15645,NULL
277303,TDQ-17730,Fixed,4980,24479,24485,49344,NULL
277305,TDQ-17727,Fixed,210,0,0,49343,NULL
277306,TDQ-17726,Fixed,300,0,0,49351,NULL
277307,TDQ-17725,Fixed,1440,32969,32969,49296,NULL
277309,TDQ-17723,Fixed,1320,34422,34422,49343,NULL
277310,TDQ-17722,Fixed,180,0,0,49342,NULL
277316,TDQ-17714,Fixed,3360,11829,34763,201651,NULL
277319,TDQ-17711,Done,720,0,0,29146,2
277320,TDQ-17709,Done,2700,12104,76346,103216,NULL
277321,TDQ-17707,Fixed,60,4,2703,2711,NULL
277322,TDQ-17706,Done,180,1413,7360,7612,NULL
277323,TDQ-17702,Fixed,1860,18720,29934,89963,NULL
277326,TDQ-17684,Fixed,240,0,2774,8766,NULL
277327,TDQ-17680,Fixed,1560,20282,25926,66063,NULL
277328,TDQ-17679,Done,1680,8956,10084,29788,NULL
277331,TDQ-17669,Fixed,30,0,0,1106,NULL
277332,TDQ-17668,Fixed,0,0,0,110891,NULL
277335,TDQ-17663,Fixed,210,50,6892,17384,NULL
277337,TDQ-17661,Fixed,2340,8744,13446,30748,NULL
277341,TDQ-17653,Fixed,510,0,0,2847,NULL
277342,TDQ-17652,Fixed,300,0,0,2559,NULL
277343,TDQ-17651,Done,60,1,1,2957,NULL
277347,TDQ-17638,Fixed,60,0,0,50072,NULL
277348,TDQ-17637,Fixed,240,0,1009,2524,NULL
277352,TDQ-17632,Fixed,1950,81670,122500,145497,3
277353,TDQ-17631,Fixed,180,2403,3578,8320,NULL
277355,TDQ-17629,Fixed,600,0,45,44581,NULL
277358,TDQ-17623,Fixed,570,1,1,50306,NULL
277359,TDQ-17622,Fixed,510,0,0,49329,NULL
277360,TDQ-17621,Fixed,600,0,0,50304,NULL
277361,TDQ-17620,Fixed,900,35506,35506,50306,NULL
277363,TDQ-17618,Fixed,2340,15322,15322,50305,NULL
277364,TDQ-17617,Fixed,1230,19634,19634,50305,NULL
277365,TDQ-17616,Fixed,1620,34067,34067,50305,NULL
277367,TDQ-17613,Fixed,1320,11560,17123,31573,NULL
277371,TDQ-17594,Done,5700,11094,11124,66171,8
277376,TDQ-17585,Fixed,120,0,0,15723,NULL
277378,TDQ-17579,Fixed,60,898,899,126470,NULL
277381,TDQ-17574,Fixed,1320,3452,20715,62320,NULL
277383,TDQ-17570,Fixed,300,0,0,1377,NULL
277384,TDQ-17569,Fixed,300,0,0,2960,NULL
277385,TDQ-17568,Fixed,120,1478,1478,1499,NULL
277389,TDQ-17548,Fixed,300,0,1637,33358,NULL
277390,TDQ-17547,Fixed,180,43,12741,27341,NULL
277392,TDQ-17544,Fixed,360,0,0,43163,NULL
277393,TDQ-17543,Done,300,0,0,43166,NULL
277397,TDQ-17536,Fixed,420,1560,5886,54659,NULL
277399,TDQ-17530,Fixed,240,0,6505,8201,NULL
277400,TDQ-17527,Fixed,960,0,0,51887,NULL
277401,TDQ-17526,Done,720,0,0,51883,NULL
277402,TDQ-17525,Fixed,1080,1319,6524,18750,NULL
277405,TDQ-17520,Fixed,690,79,4026,43038,NULL
277408,TDQ-17514,Fixed,180,0,1234,2653,NULL
277409,TDQ-17513,Fixed,120,49676,53993,83674,1
277410,TDQ-17512,Fixed,1200,7443,34653,311337,NULL
277411,TDQ-17511,Fixed,1380,6858,12368,55847,NULL
277417,TDQ-17504,Done,1200,63870,84929,1825524,8
277419,TDQ-17500,Fixed,600,1266,9717,11151,NULL
277420,TDQ-17494,Fixed,60,8,64,23102,NULL
277423,TDQ-17485,Fixed,180,193,7196,9709,NULL
277424,TDQ-17483,Fixed,660,1238,7233,14046,NULL
277430,TDQ-17467,Fixed,120,0,0,8686,NULL
277431,TDQ-17465,Fixed,150,0,0,21150,NULL
277432,TDQ-17464,Fixed,120,0,0,385,NULL
277434,TDQ-17462,Done,480,0,0,8567,NULL
277437,TDQ-17458,Fixed,750,4343,8431,22664,NULL
277439,TDQ-17456,Fixed,540,8596,8596,22721,NULL
277440,TDQ-17455,Fixed,210,216,4456,47633,NULL
277441,TDQ-17454,Fixed,300,0,0,24082,NULL
277444,TDQ-17451,Fixed,360,24259,24263,62332,NULL
277446,TDQ-17446,Fixed,360,21,1599,50452,NULL
277447,TDQ-17445,Fixed,240,1284,1284,10084,NULL
277449,TDQ-17443,Fixed,1320,14535,14535,24434,NULL
277450,TDQ-17442,Fixed,480,1545,1545,8801,NULL
277455,TDQ-17435,Fixed,2100,7423,27354,75099,NULL
277456,TDQ-17434,Fixed,1140,281,7498,8902,NULL
277457,TDQ-17431,Done,180,0,0,11180,NULL
277458,TDQ-17430,Fixed,1200,4019,4238,22996,NULL
277459,TDQ-17429,Fixed,720,4272,8494,23026,NULL
277462,TDQ-17426,Fixed,1020,11931,11931,38858,NULL
277463,TDQ-17425,Done,3360,39056,39057,139699,NULL
277464,TDQ-17424,Fixed,240,12767,12767,90325,NULL
277466,TDQ-17422,Fixed,720,34079,34079,90255,NULL
277467,TDQ-17421,Fixed,630,8476,8476,90325,NULL
277470,TDQ-17418,Fixed,600,9774,9774,90324,NULL
277471,TDQ-17417,Fixed,720,0,0,90297,NULL
277472,TDQ-17416,Done,240,72,72,90326,NULL
277474,TDQ-17414,Fixed,1080,2647,14018,14461,NULL
277475,TDQ-17413,Fixed,120,0,0,264,NULL
277480,TDQ-17404,Fixed,300,214,1428,8680,NULL
277484,TDQ-17397,Fixed,360,417,1389,2864,NULL
277485,TDQ-17396,Fixed,180,0,0,106888,NULL
277487,TDQ-17393,Fixed,240,1189,5777,290702,NULL
277488,TDQ-17392,Fixed,630,83,18346,18358,NULL
277494,TDQ-17385,Fixed,600,9667,9670,27325,NULL
277495,TDQ-17384,Fixed,780,0,0,34360,NULL
277497,TDQ-17382,Fixed,120,60,60,51680,NULL
277498,TDQ-17381,Fixed,1920,3997,10091,47907,5
277501,TDQ-17377,Fixed,1200,0,0,32955,NULL
277502,TDQ-17376,Fixed,1860,0,0,72004,NULL
277503,TDQ-17375,Fixed,1440,14512,14512,33196,NULL
277509,TDQ-17366,Fixed,2220,15794,26876,29805,3
277514,TDQ-17361,Fixed,840,0,0,73760,NULL
277516,TDQ-17359,Fixed,1080,0,0,73340,NULL
277518,TDQ-17357,Fixed,840,12612,12612,73340,NULL
277519,TDQ-17356,Fixed,660,23970,23970,73340,NULL
277526,TDQ-17349,Fixed,60,0,0,30573,NULL
277528,TDQ-17346,Fixed,720,1532,7190,41683,NULL
277530,TDQ-17344,Fixed,300,0,138,148,NULL
277531,TDQ-17343,Done,120,0,0,40370,NULL
277537,TDQ-17337,Fixed,240,0,0,40790,NULL
277539,TDQ-17335,Fixed,960,0,0,40788,NULL
277543,TDQ-17324,Fixed,780,1910,21629,38549,NULL
277544,TDQ-17323,Fixed,180,30,36,1445,NULL
277545,TDQ-17322,Fixed,240,298,298,299,NULL
277550,TDQ-17308,Fixed,750,2721,8670,24506,NULL
277551,TDQ-17306,Fixed,420,0,12,14293,NULL
277552,TDQ-17304,Fixed,120,53,7518,75119,NULL
277553,TDQ-17302,Fixed,240,0,0,11458,NULL
277559,TDQ-17290,Fixed,240,0,0,1355,NULL
277562,TDQ-17286,Fixed,480,1345,1504,5409,NULL
277564,TDQ-17281,Fixed,240,0,0,24546,NULL
277569,TDQ-17276,Fixed,540,0,0,14687,NULL
277570,TDQ-17275,Fixed,300,0,0,7375,NULL
277571,TDQ-17274,Fixed,960,6054,6054,20510,NULL
277575,TDQ-17269,Fixed,210,0,1655,2960,NULL
277585,TDQ-17251,Fixed,210,4,76,138178,NULL
277586,TDQ-17250,Fixed,60,42,42,74597,NULL
277588,TDQ-17248,Fixed,120,6,6,74637,NULL
277590,TDQ-17246,Fixed,840,17630,26060,111071,8
277595,TDQ-17241,Fixed,720,2398,4363,45070,3
277597,TDQ-17239,Fixed,480,1370,1370,20534,NULL
277598,TDQ-17233,Fixed,480,2904,2904,74863,NULL
277600,TDQ-17229,Fixed,480,151,151,54674,NULL
277602,TDQ-17224,Fixed,480,0,5466,73483,NULL
277609,TDQ-17216,Fixed,120,210,218,45978,NULL
277612,TDQ-17213,Fixed,240,0,2686,9880,0.5
277620,TDQ-17205,Fixed,360,11572,30107,41836,3
277623,TDQ-17201,Fixed,120,0,0,44582,NULL
277625,TDQ-17199,Fixed,360,1,1,44244,NULL
277626,TDQ-17198,Fixed,1440,0,0,44248,NULL
277628,TDQ-17196,Fixed,480,0,0,44247,NULL
277638,TDQ-17186,Done,240,0,0,46148,5
277640,TDQ-17182,Fixed,780,1549,8091,126385,NULL
277641,TDQ-17174,Fixed,150,7,1194,1197,NULL
277646,TDQ-17169,Fixed,420,486,4679,23071,NULL
277652,TDQ-17160,Fixed,180,1391,6858,91810,0.5
277653,TDQ-17159,Fixed,360,296,1571,2869,NULL
277655,TDQ-17155,Fixed,480,8477,11145,135168,NULL
277666,TDQ-17138,Fixed,60,12,144,158,NULL
277671,TDQ-17129,Fixed,210,0,1342,1400,NULL
277675,TDQ-17123,Fixed,1320,11407,11920,28666,NULL
277676,TDQ-17122,Fixed,1380,6910,8256,48578,NULL
277677,TDQ-17121,Fixed,600,0,1390,7395,NULL
277678,TDQ-17118,Fixed,330,0,1477,1655,NULL
277680,TDQ-17115,Fixed,180,0,1347,11429,NULL
277685,TDQ-17108,Fixed,240,4211,5364,86215,3
277686,TDQ-17107,Fixed,300,6924,9999,21623,NULL
277689,TDQ-17097,Fixed,120,1390,1390,40570,NULL
277693,TDQ-17088,Fixed,3720,63,20563,586319,NULL
277694,TDQ-17085,Fixed,420,1211,2542,51483,3
277695,TDQ-17084,Fixed,480,3,4330,12863,NULL
277696,TDQ-17083,Fixed,360,153,10062,20085,NULL
277698,TDQ-17081,Fixed,180,0,0,2803,NULL
277702,TDQ-17077,Fixed,120,1,1,42029,NULL
277703,TDQ-17076,Fixed,240,1294,1294,41984,NULL
277704,TDQ-17075,Fixed,2640,29629,29629,42084,NULL
277705,TDQ-17074,Fixed,240,130,130,42083,NULL
277706,TDQ-17073,Fixed,660,104,104,42085,NULL
277707,TDQ-17072,Fixed,480,0,0,42019,NULL
277709,TDQ-17069,Fixed,480,5622,46021,79093,0.5
277712,TDQ-17066,Fixed,1800,31953,38960,41453,NULL
277715,TDQ-17061,Fixed,660,205,31889,86585,NULL
277717,TDQ-17059,Fixed,720,3095,3095,48936,NULL
277718,TDQ-17058,Fixed,300,1428,1428,48944,NULL
277719,TDQ-17057,Fixed,660,0,0,40555,NULL
277720,TDQ-17056,Fixed,300,0,0,44405,NULL
277721,TDQ-17055,Fixed,1920,0,0,46185,NULL
277723,TDQ-17051,Fixed,540,4187,22433,60551,NULL
277724,TDQ-17050,Fixed,480,4247,4247,5361,NULL
277725,TDQ-17049,Fixed,120,9918,9920,50271,13
277726,TDQ-17047,Fixed,660,1560,8377,128071,NULL
277732,TDQ-17032,Fixed,480,4329,4329,77984,NULL
277733,TDQ-17031,Fixed,1020,1838,1838,73654,NULL
277735,TDQ-17029,Fixed,480,1784,1784,70750,NULL
277736,TDQ-17028,Fixed,240,0,6,49233,NULL
277741,TDQ-17019,Fixed,1320,13989,20706,65644,NULL
277747,TDQ-17009,Fixed,270,8549,8677,18650,NULL
277750,TDQ-17002,Fixed,480,0,0,7201,NULL
277751,TDQ-17001,Fixed,960,0,0,8660,NULL
277762,TDQ-16988,Fixed,120,0,1,33009,NULL
277766,TDQ-16984,Fixed,480,1345,1345,1345,NULL
277767,TDQ-16983,Done,1260,7490,14587,37384,NULL
277770,TDQ-16979,Fixed,480,1202,1202,8658,NULL
277771,TDQ-16977,Fixed,780,1387,21347,63176,NULL
277772,TDQ-16976,Fixed,240,1474,8646,10117,NULL
277774,TDQ-16974,Fixed,120,0,1399,30157,NULL
277775,TDQ-16972,Done,1260,8,9,40073,NULL
277779,TDQ-16966,Fixed,1140,4289,8313,100594,NULL
277780,TDQ-16965,Fixed,420,0,0,38876,NULL
277782,TDQ-16963,Fixed,120,0,0,38705,NULL
277783,TDQ-16962,Fixed,600,5567,5567,20160,NULL
277784,TDQ-16961,Fixed,1920,162,162,38876,NULL
277785,TDQ-16960,Fixed,360,6915,6915,38711,NULL
277789,TDQ-16956,Fixed,9960,16,17,41625,NULL
277790,TDQ-16955,Fixed,240,1,10,6155,NULL
277792,TDQ-16953,Fixed,930,10277,21598,60290,NULL
277793,TDQ-16952,Fixed,60,1324,1324,1385,NULL
277795,TDQ-16947,Fixed,420,2,2,418,NULL
277796,TDQ-16946,Fixed,420,0,0,5995,NULL
277806,TDQ-16934,Fixed,600,8330,14222,14246,NULL
277808,TDQ-16932,Fixed,120,0,2682,60380,NULL
277810,TDQ-16928,Fixed,1020,2101,11855,27296,2
277812,TDQ-16917,Done,600,0,0,423316,NULL
277814,TDQ-16914,Fixed,420,0,54,7578,NULL
277815,TDQ-16913,Fixed,120,0,0,2668,NULL
277816,TDQ-16912,Fixed,240,51,1228,1228,NULL
277817,TDQ-16910,Fixed,780,1438,3080,83556,NULL
277825,TDQ-16893,Fixed,10740,76334,126543,504592,3
277827,TDQ-16889,Fixed,1320,4135,13017,50486,5
277828,TDQ-16888,Fixed,480,116,8464,119217,NULL
277829,TDQ-16886,Fixed,60,24,2461,25592,NULL
277835,TDQ-16872,Fixed,1800,78882,87771,136546,3
277840,TDQ-16866,Fixed,1380,0,59,511644,NULL
277841,TDQ-16865,Fixed,600,6811,17175,17777,NULL
277842,TDQ-16862,Fixed,180,1129,1129,50021,NULL
277845,TDQ-16854,Done,660,2898,2898,37247,NULL
277846,TDQ-16853,Fixed,240,1,8672,10300,NULL
277848,TDQ-16842,Fixed,450,40,9713,83134,NULL
277850,TDQ-16836,Fixed,600,0,84,74912,NULL
277851,TDQ-16835,Fixed,240,3983,3983,4003,NULL
277852,TDQ-16834,Fixed,240,0,0,4256,NULL
277860,TDQ-16824,Fixed,180,241,241,17411,NULL
