ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
83659,JRASERVER-63842,Fixed,60,42064,52276,76690,NULL
87931,JRASERVER-45439,Fixed,120,29009,29009,159592,NULL
89362,JRASERVER-43185,Answered,240,0,0,49978,NULL
93975,JRASERVER-36716,Answered,120,0,0,7909,NULL
96086,JRASERVER-34041,Fixed,60,0,0,31726,NULL
96322,JRASERVER-33746,Fixed,30,0,0,109597,NULL
97286,JRASERVER-32457,Fixed,45,0,0,74905,NULL
97748,JRASERVER-31833,Fixed,10,0,0,679750,NULL
97942,JRASERVER-31581,Fixed,540,0,104190,300667,NULL
98382,JRASERVER-31024,Fixed,1023,4525,248570,1539284,NULL
99374,JRASERVER-29851,Fixed,10,0,0,901040,NULL
99878,JRASERVER-29193,Fixed,10,1,1,591486,NULL
99902,JRASERVER-29169,Fixed,20,0,0,596015,NULL
101563,JRASERVER-27160,Fixed,21,155,44207,44414,NULL
102189,JRASERVER-26378,Fixed,720,0,0,130079,NULL
102363,JRASERVER-26182,Fixed,5,0,0,1572,NULL
102600,JRASERVER-25904,Deployed,150,43178,185769,185769,NULL
102763,JRASERVER-25712,Fixed,30,0,0,1620766,NULL
103994,JRASERVER-24248,Fixed,120,2211,35175,35176,NULL
104221,JRASERVER-23996,Fixed,60,0,0,510440,NULL
105079,JRASERVER-22913,Fixed,5,0,0,536047,NULL
105504,JRASERVER-22422,Fixed,180,0,200185,233355,NULL
105681,JRASERVER-22198,Fixed,30,11343,63179,302301,NULL
105704,JRASERVER-22172,Fixed,180,1239,1239,1309,NULL
105853,JRASERVER-22002,Fixed,10,0,0,23146,NULL
106034,JRASERVER-21766,Fixed,5,0,0,577,NULL
106083,JRASERVER-21694,Fixed,10,0,0,3643,NULL
106168,JRASERVER-21586,Fixed,0,2,273573,1273768,NULL
106230,JRASERVER-21507,Fixed,5,0,0,1098,NULL
106266,JRASERVER-21459,Fixed,5,0,0,62,NULL
106376,JRASERVER-21333,Fixed,10,0,0,4543,NULL
106388,JRASERVER-21317,Fixed,60,0,0,47181,NULL
106463,JRASERVER-21222,Fixed,10,0,128404,129364,NULL
106473,JRASERVER-21209,Fixed,10,24431,24431,25873,NULL
106474,JRASERVER-21208,Fixed,5,0,0,5885,NULL
106487,JRASERVER-21192,Fixed,240,94,10011,24226,NULL
106488,JRASERVER-21191,Fixed,20,0,0,95,NULL
106565,JRASERVER-21066,Fixed,5,0,0,3950,NULL
106592,JRASERVER-21030,Fixed,360,1108,1108,58883,NULL
106607,JRASERVER-21003,Fixed,5,0,0,2921,NULL
106656,JRASERVER-20940,Fixed,120,0,55,75106,NULL
106666,JRASERVER-20928,Fixed,5,0,0,1620,NULL
106683,JRASERVER-20905,Fixed,300,103849,109747,109751,NULL
106778,JRASERVER-20789,Fixed,10,0,0,13880,NULL
106806,JRASERVER-20757,Fixed,960,0,0,110961,NULL
106867,JRASERVER-20681,Fixed,30,0,0,3386,NULL
106873,JRASERVER-20675,Fixed,360,37200,46165,88289,NULL
106903,JRASERVER-20638,Fixed,150,0,2733,95343,NULL
106945,JRASERVER-20589,Fixed,90,100580,103579,110193,NULL
107360,JRASERVER-20038,Fixed,660,1508,25998,62477,NULL
107380,JRASERVER-20018,Fixed,480,1472,2874,155662,NULL
107443,JRASERVER-19940,Fixed,300,1140,6717,15700,NULL
107460,JRASERVER-19919,Fixed,90,2,28392,43011,NULL
107468,JRASERVER-19910,Fixed,720,1,16060,181420,NULL
107622,JRASERVER-19733,Fixed,1200,1545,55514,257827,NULL
107625,JRASERVER-19730,Fixed,720,0,0,134,NULL
107640,JRASERVER-19714,Fixed,480,2761,11650,208819,NULL
107653,JRASERVER-19699,Fixed,480,18,74894,126724,NULL
107884,JRASERVER-19421,Fixed,0,41626,51910,87870,NULL
107897,JRASERVER-19406,Fixed,30,0,0,23168,NULL
108022,JRASERVER-19242,Fixed,360,17310,17310,975017,NULL
108062,JRASERVER-19190,Fixed,30,0,0,10,NULL
108072,JRASERVER-19177,Fixed,60,0,0,3748,NULL
108112,JRASERVER-19121,Fixed,60,0,0,158,NULL
108114,JRASERVER-19118,Fixed,60,0,0,127,NULL
108147,JRASERVER-19081,Fixed,240,0,0,5382,NULL
108150,JRASERVER-19078,Fixed,480,1582,1582,5536,NULL
108152,JRASERVER-19076,Fixed,120,0,0,4408,NULL
108153,JRASERVER-19075,Fixed,240,0,0,17,NULL
108154,JRASERVER-19074,Fixed,60,5644,5644,5645,NULL
108160,JRASERVER-19068,Fixed,30,0,0,36219,NULL
108162,JRASERVER-19065,Fixed,30,0,0,32,NULL
108170,JRASERVER-19053,Fixed,120,0,0,1293,NULL
108179,JRASERVER-19039,Fixed,30,0,0,80,NULL
108180,JRASERVER-19038,Fixed,240,1393,1393,1456,NULL
108189,JRASERVER-19024,Fixed,120,4337,4337,7079,NULL
108201,JRASERVER-19009,Fixed,120,0,0,2956,NULL
108214,JRASERVER-18992,Fixed,60,0,0,214,NULL
108220,JRASERVER-18985,Fixed,240,1295,1295,2360,NULL
108221,JRASERVER-18984,Fixed,180,999,999,1037,NULL
108226,JRASERVER-18975,Fixed,120,70,70,2801,NULL
108227,JRASERVER-18974,Fixed,90,64,64,2500,NULL
108232,JRASERVER-18946,Fixed,30,0,0,1053,NULL
108234,JRASERVER-18944,Fixed,16,0,0,70,NULL
108235,JRASERVER-18943,Fixed,60,27,27,1379,NULL
108236,JRASERVER-18941,Fixed,30,0,0,2514,NULL
108242,JRASERVER-18927,Fixed,30,0,0,34,NULL
