ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
46902,FE-7280,Fixed,10,0,0,7108,NULL
46904,FE-7277,Fixed,5,0,0,7121,NULL
46908,FE-7270,Fixed,112,2628,2628,44532,2
46914,FE-7264,Fixed,75,4232,0,4233,0.5
46918,FE-7259,Fixed,20,1630,1630,455458,NULL
46929,FE-7245,Fixed,16,1495,0,17320,1
46951,FE-7218,Fixed,75,20155,0,250702,0.5
46961,FE-7207,Fixed,15,0,0,386438,NULL
46975,FE-7186,Fixed,10,2943,0,24541,0.25
47058,FE-7076,Fixed,346,51420,55808,174274,0.5
47074,FE-7055,Fixed,38,158,9959,24232,0.5
47080,FE-7049,Fixed,53,4295,5918,150037,1
47092,FE-7037,Fixed,58,7085,17609,168513,1
47095,FE-7033,Fixed,62,3237,7625,269508,0.5
47161,FE-6909,Fixed,68,7581,23422,554964,1
47200,FE-6826,Fixed,23,170,13055,13062,NULL
47224,FE-6771,Fixed,33,0,0,1273173,NULL
47286,FE-6663,Fixed,128,20349,189443,2122789,2
47306,FE-6636,Fixed,7,5905,11467,40243,0.5
47309,FE-6630,Fixed,14,8414,15945,19088,0.5
47333,FE-6583,Answered,30,962,2480,1909526,0.5
47406,FE-6466,Fixed,18,4763,6172,12944,2
47429,FE-6435,Fixed,17,38,1246,1252,NULL
47529,FE-6286,Fixed,15,8681,8681,2245978,NULL
47540,FE-6274,Answered,184,3737,22433,1641338,1
47547,FE-6262,Fixed,9,1235,1235,979154,5
47599,FE-5828,Fixed,105,2787,163361,1897937,2
47618,FE-5805,Fixed,38,0,1613,4778517,NULL
47633,FE-5783,Fixed,126,2976,30436,37237,0.5
47656,FE-5744,Fixed,5,67,279,27435,0.5
47661,FE-5735,Fixed,29,7263,9028,105221,NULL
47706,FE-5672,Fixed,30,65,4084,4086,0.5
47719,FE-5653,Fixed,55,0,20234,20386,NULL
47721,FE-5650,Fixed,23,557,590,9615,0.5
47812,FE-5534,Fixed,38,11883,17359,1602920,5
47837,FE-5499,Fixed,69,9827,18062,312743,1
47877,FE-5448,Fixed,40,1622,11365,122145,NULL
47910,FE-5381,Fixed,21,9908,9908,10048,NULL
47947,FE-5336,Fixed,51,0,3109,183289,0.5
47949,FE-5334,Fixed,5,58,421,689854,NULL
47960,FE-5321,Fixed,59,0,19019,148888,1
47962,FE-5319,Fixed,33,148,148,177502,NULL
47966,FE-5315,Fixed,8,0,0,60518,NULL
47967,FE-5314,Fixed,8,0,0,2400,NULL
47974,FE-5305,Fixed,9,49527,96549,100504,NULL
47985,FE-5292,Fixed,414,2,28873,245025,0.5
47986,FE-5290,Fixed,47,0,192,2886,NULL
48002,FE-5269,Fixed,13,0,11170,15801,NULL
48021,FE-5248,Fixed,22,2649,2649,2875,1
48030,FE-5239,Fixed,57,5,19,108654,NULL
48032,FE-5237,Fixed,9,0,5649,96879,NULL
48045,FE-5223,Fixed,18,1608,5464,46020,2
48056,FE-5210,Fixed,14,0,7222,7226,NULL
48058,FE-5206,Fixed,7,8987,29225,41230,0.5
48090,FE-5173,Fixed,4,0,181,8676,NULL
48092,FE-5171,Fixed,6,0,0,1943,NULL
48100,FE-5162,Fixed,78,7028,8274,28592,NULL
48101,FE-5161,Fixed,3,18,16992,78859,1
48129,FE-5129,Fixed,9,1491,9830,11117,NULL
48164,FE-5089,Fixed,71,8937,8937,109065,NULL
48166,FE-5087,Fixed,62,0,11729,48814,3
48168,FE-5084,Fixed,10,0,1500,5324,NULL
48171,FE-5081,Fixed,4,0,0,11319,NULL
48183,FE-5067,Fixed,125,1205,8474,823278,0.5
48229,FE-5015,Fixed,2,0,1573,40557,0.5
48231,FE-5013,Fixed,4,8841,8841,10246,1
48235,FE-5009,Fixed,15,3141,3143,2577654,NULL
48241,FE-5003,Fixed,65,0,0,18678,NULL
48244,FE-5000,Fixed,47,0,0,32038,1
48246,FE-4998,Fixed,39,0,5569,7350,1
48248,FE-4994,Fixed,10,28407,62362,232229,NULL
48267,FE-4971,Fixed,2,111,7238,41759,NULL
48275,FE-4962,Fixed,1,0,0,17598,NULL
48283,FE-4954,Fixed,1,0,24527,171028,NULL
48286,FE-4949,Fixed,26,0,0,16124,NULL
48303,FE-4927,Fixed,5,8,3039,6406,NULL
48312,FE-4916,Fixed,18,52117,52117,136487,NULL
48338,FE-4888,Fixed,2,0,17531,19702,NULL
48389,FE-4800,Fixed,1,703,10689,62009,NULL
48409,FE-4776,Fixed,15,0,0,156252,NULL
48421,FE-4764,Fixed,3,11383,63903,367139,1
48435,FE-4747,Fixed,1,0,1232,1251,NULL
48439,FE-4742,Fixed,1,0,7018,7166,NULL
48488,FE-4687,Fixed,6,0,3008,9312,NULL
48519,FE-4654,Fixed,37,0,0,746556,NULL
48531,FE-4639,Fixed,1,1153,2992,13804,0.5
48542,FE-4625,Fixed,9,0,9667,18609,2
48597,FE-4563,Fixed,19,17,2173,2935701,NULL
48598,FE-4562,Fixed,72,2838,36075,798711,3
48613,FE-4547,Fixed,125,4469,27412,847749,3
48675,FE-4479,Fixed,19,1833,1834,42881,NULL
48716,FE-4433,Fixed,3,25,8345,783358,3
48769,FE-4374,Fixed,17,8311,8316,126262,1
48786,FE-4357,Fixed,30,1,13389,48910,1
48787,FE-4356,Fixed,19,0,0,6785,NULL
48788,FE-4354,Fixed,154,0,0,10168,NULL
48793,FE-4349,Fixed,4,2394,2530,9277,NULL
48800,FE-4340,Fixed,10,0,0,10018,NULL
48804,FE-4336,Fixed,34,4220,4221,3512539,1
48825,FE-4315,Fixed,39,0,8659,44907,NULL
48867,FE-4266,Fixed,7,8629,40612,40619,NULL
48904,FE-4228,Fixed,36,0,0,263948,NULL
48905,FE-4227,Fixed,10,1387,8541,106686,2
48911,FE-4220,Fixed,18,0,69108,69293,NULL
48924,FE-4207,Fixed,20,4511,11826,151633,NULL
48925,FE-4206,Fixed,47,1486,16913,139769,2
48932,FE-4198,Fixed,16,4,4134,4134,NULL
48945,FE-4183,Fixed,45,5684,34903,50462,5
48963,FE-4162,Fixed,23,0,0,20020,1
48968,FE-4155,Fixed,7,1328,3830,2560411,NULL
48976,FE-4147,Fixed,98,5607,25792,190799,5
49008,FE-4113,Fixed,15,0,0,67848,3
49011,FE-4110,Fixed,35,6868,21327,81189,3
49016,FE-4105,Fixed,35,0,4245,21839,NULL
49025,FE-4095,Fixed,13,4467,4467,95096,3
49029,FE-4091,Fixed,16,5641,8401,240361,2
49034,FE-4086,Fixed,5,0,34431,34708,NULL
49050,FE-4070,Fixed,7,96,96,15865,NULL
49058,FE-4062,Answered,26,60432,60432,3576057,NULL
49060,FE-4060,Fixed,9,0,0,2513,NULL
49074,FE-4044,Fixed,8,2,6801,6818,NULL
49075,FE-4043,Fixed,17,0,0,7142,NULL
49080,FE-4036,Fixed,6,8359,8359,8368,NULL
49084,FE-4029,Fixed,8,11190,11190,33169,5
49093,FE-4020,Fixed,29,24611,27487,30581,NULL
49095,FE-4018,Fixed,12,3094,18974,20059,NULL
49100,FE-4012,Fixed,93,3152,3155,18895,NULL
49105,FE-4006,Fixed,8,38,4566,69377,2
49110,FE-4001,Fixed,8,0,7227,8294,NULL
49111,FE-4000,Fixed,57,10217,10217,10222,NULL
49127,FE-3984,Fixed,55,133,1634,41069,NULL
49135,FE-3976,Fixed,120,11648,11648,64061,NULL
49147,FE-3961,Fixed,33,9804,12949,192490,NULL
49150,FE-3957,Fixed,3,0,151,355,NULL
49151,FE-3956,Fixed,9,41,5891,6051,NULL
