ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
272738,TDP-6887,Done,600,9983,69042,165740,0
272827,TDP-6776,Done,120,17,1089,4022,1
272852,TDP-6732,Fixed,1020,4749,43123,71925,NULL
272856,TDP-6727,Done,960,5593,5606,19985,2
272909,TDP-6637,Done,1140,15522,17630,122132,1
273588,TDP-5651,Fixed,210,6806,8264,8264,NULL
273992,TDP-5026,Fixed,960,7045,7045,126190,NULL
273995,TDP-5023,Fixed,420,41696,41696,119310,NULL
274073,TDP-4912,Fixed,480,1,1,1,NULL
274084,TDP-4893,Done,480,70609,70609,72704,NULL
274142,TDP-4832,Fixed,60,1123,58602,12747,NULL
274145,TDP-4828,Fixed,10,12,262,1690,NULL
274184,TDP-4770,Fixed,180,0,0,2984,0.5
274218,TDP-4700,Fixed,15,0,4917,2601,NULL
274222,TDP-4696,Fixed,1320,1773,1928,20471,NULL
274224,TDP-4692,Fixed,0,2034,12656,12959,NULL
274228,TDP-4685,Fixed,240,77,2783,102,NULL
274232,TDP-4681,Fixed,120,0,0,5340,NULL
274255,TDP-4617,Fixed,180,21182,21182,99355,NULL
274261,TDP-4611,Fixed,0,7494,17231,17234,NULL
274265,TDP-4606,Fixed,2340,7125,17207,31613,2
274271,TDP-4596,Fixed,0,387,387,1402,NULL
274273,TDP-4594,Done,600,14384,14384,25519,2
274281,TDP-4585,Done,0,2507,8485,129426,NULL
274282,TDP-4584,Fixed,122,206,207,412,NULL
274294,TDP-4566,Fixed,1440,13313,50282,138455,1
274296,TDP-4563,Fixed,720,101178,101178,128167,NULL
274297,TDP-4562,Fixed,120,4238,4238,37043,NULL
274298,TDP-4561,Fixed,240,0,0,99428,NULL
274299,TDP-4560,Fixed,480,0,0,33241,NULL
274300,TDP-4559,Fixed,60,2569,2569,52989,NULL
274301,TDP-4558,Fixed,60,0,0,33243,NULL
274302,TDP-4557,Fixed,480,1505,1505,40147,NULL
274303,TDP-4556,Fixed,180,2568,2568,52992,NULL
274304,TDP-4555,Fixed,120,4416,4416,67773,NULL
274305,TDP-4554,Fixed,1440,39193,39193,79344,NULL
274310,TDP-4549,Done,960,0,0,17677,NULL
274327,TDP-4530,Fixed,480,11701,28742,73556,NULL
274328,TDP-4529,Fixed,0,30641,73553,73557,NULL
274339,TDP-4515,Fixed,0,0,0,28,NULL
274340,TDP-4514,Fixed,0,121066,121066,126585,NULL
274346,TDP-4508,Fixed,286,4428,132109,57640,NULL
274349,TDP-4501,Done,960,17157,17157,18951,1
274351,TDP-4499,Fixed,90,17338,34536,355850,NULL
274357,TDP-4493,Done,540,8994,35293,82209,NULL
274358,TDP-4490,Fixed,360,7239,17368,17368,1
274378,TDP-4463,Fixed,720,1375,5242,7224,NULL
274397,TDP-4437,Fixed,30,101,1458,1461,1
